item,worker,label
0,24,0
0,20,0
0,25,0
0,17,2
0,21,0
0,0,3
0,14,3
0,10,2
0,11,2
1,17,2
1,11,3
1,25,0
1,21,0
1,24,0
1,0,3
1,14,3
1,10,2
1,20,0
2,10,2
2,14,0
2,0,3
2,11,2
2,20,0
2,25,0
2,24,0
2,17,2
2,21,0
3,17,0
3,11,0
3,10,0
3,14,1
3,0,3
3,24,1
3,21,0
3,20,1
3,25,0
4,11,1
4,24,1
4,20,1
4,6,1
4,17,1
4,10,1
4,22,1
4,14,1
4,21,1
5,20,0
5,24,1
5,10,0
5,21,1
5,17,1
5,6,0
5,22,1
5,11,1
5,14,1
6,20,0
6,14,0
6,11,0
6,22,0
6,6,2
6,17,0
6,24,0
6,21,0
6,10,0
7,11,2
7,22,2
7,6,3
7,17,2
7,21,2
7,10,2
7,14,2
7,24,2
7,20,2
8,24,1
8,15,1
8,17,1
8,10,1
8,9,1
8,7,1
8,20,1
8,11,1
8,21,1
9,24,0
9,9,0
9,15,0
9,17,0
9,10,0
9,21,0
9,7,0
9,11,0
9,20,2
10,20,0
10,21,0
10,10,0
10,17,0
10,15,0
10,9,0
10,7,2
10,11,0
11,10,0
11,17,0
11,11,3
11,20,0
11,7,3
11,21,0
11,15,0
11,9,0
11,24,0
12,21,0
12,9,0
12,14,3
12,11,3
12,24,0
12,10,0
12,17,0
12,20,0
12,1,0
13,1,1
13,14,1
13,21,1
13,9,1
13,11,1
13,24,1
13,10,1
13,17,1
13,20,1
14,10,0
14,17,0
14,24,0
14,14,2
14,1,0
14,11,0
14,9,0
14,21,0
14,20,0
15,21,0
15,9,0
15,17,0
15,20,1
15,11,2
15,14,2
15,1,0
15,24,0
15,10,2
16,4,3
16,24,2
16,17,2
16,10,2
16,20,2
16,6,0
16,21,0
16,11,2
17,21,0
17,4,2
17,24,1
17,17,2
17,11,1
17,10,3
17,20,0
17,6,2
17,9,0
18,24,0
18,9,0
18,10,3
18,17,2
18,6,2
18,11,2
18,21,0
18,4,2
18,20,0
19,4,0
19,21,0
19,11,0
19,6,1
19,20,3
19,10,0
19,9,0
19,17,2
19,24,0
20,24,3
20,9,3
20,10,3
20,14,3
20,17,3
20,11,3
20,20,3
20,21,3
20,4,3
21,21,0
21,10,2
21,9,0
21,20,0
21,11,0
21,4,0
21,17,0
21,14,0
21,24,0
22,9,1
22,10,1
22,14,1
22,17,1
22,11,1
22,20,1
22,21,1
22,4,1
22,24,1
23,21,0
23,11,2
23,17,2
23,9,0
23,14,0
23,20,2
23,4,2
23,24,2
23,10,2
24,20,1
24,11,1
24,9,1
24,14,1
24,10,1
24,24,1
24,21,1
24,17,1
24,4,1
25,20,0
25,14,0
25,10,0
25,24,0
25,21,0
25,17,0
25,4,0
25,9,3
25,11,3
26,14,2
26,11,2
26,9,2
26,24,2
26,21,2
26,17,2
26,4,2
26,20,2
26,10,2
27,4,3
27,20,3
27,11,3
27,9,3
27,14,3
27,10,3
27,24,0
27,21,3
27,17,3
28,17,2
28,11,2
28,10,3
28,20,2
28,24,2
28,4,3
28,15,2
28,12,0
28,21,2
29,12,1
29,10,1
29,21,1
29,17,1
29,11,1
29,15,1
29,4,1
29,24,1
29,20,1
30,4,0
30,10,3
30,21,0
30,17,0
30,11,0
30,20,0
30,12,0
30,24,0
30,15,0
31,4,3
31,24,3
31,12,3
31,20,3
31,11,3
31,17,3
31,10,3
31,15,3
31,21,3
32,11,1
32,17,1
32,22,0
32,24,0
32,21,0
32,10,3
32,14,1
32,9,0
32,20,1
33,14,1
33,20,1
33,11,1
33,10,3
33,21,0
33,24,0
33,17,1
33,9,0
33,22,0
34,21,0
34,11,0
34,17,1
34,22,0
34,24,0
34,10,3
34,14,1
34,20,0
34,9,0
35,20,3
35,14,1
35,10,0
35,24,0
35,21,0
35,17,0
35,11,3
35,22,2
35,9,0
36,20,1
36,17,1
36,14,1
36,4,1
36,6,0
36,24,1
36,10,1
36,21,0
36,11,0
37,17,1
37,14,1
37,20,1
37,4,1
37,11,1
37,6,1
37,24,1
37,10,1
37,21,1
38,17,0
38,14,0
38,11,3
38,6,2
38,24,0
38,10,0
38,21,0
38,20,0
38,4,0
39,6,3
39,24,0
39,10,0
39,21,0
39,11,3
39,4,3
39,20,0
39,17,0
39,14,0
40,10,2
40,21,0
40,24,3
40,16,2
40,17,2
40,22,3
40,4,3
40,11,2
40,20,2
41,20,1
41,10,1
41,24,0
41,11,1
41,4,2
41,22,1
41,17,1
41,21,1
41,16,1
42,20,3
42,21,0
42,16,0
42,17,3
42,22,3
42,11,3
42,10,3
42,24,0
42,4,3
43,4,2
43,22,2
43,20,2
43,10,3
43,11,3
43,17,3
43,16,0
43,24,0
43,21,0
44,9,3
44,11,3
44,21,0
44,10,2
44,14,2
44,17,0
44,24,2
44,4,2
44,20,2
45,21,0
45,9,0
45,20,0
45,10,0
45,11,2
45,17,0
45,24,0
45,4,3
45,14,1
46,9,2
46,20,3
46,10,3
46,21,2
46,17,3
46,24,3
46,4,2
46,11,2
46,14,2
47,4,2
47,24,1
47,17,1
47,14,1
47,10,2
47,21,1
47,20,1
47,9,0
48,17,1
48,7,1
48,21,0
48,24,1
48,4,1
48,10,1
48,20,1
48,14,1
48,11,1
49,21,0
49,7,3
49,24,0
49,17,1
49,4,0
49,11,0
49,20,0
49,10,0
49,14,1
50,7,0
50,21,0
50,17,0
50,24,0
50,11,3
50,20,0
50,10,3
50,14,2
50,4,3
51,20,1
51,11,1
51,4,3
51,17,3
51,24,1
51,7,1
51,21,2
51,14,1
