item,truth
11,2
12,2
27,2
30,2
31,2
33,2
34,2
35,2
36,2
37,2
45,2
68,2
72,2
73,3
74,3
75,3
76,3
81,2
82,2
85,2
102,2
103,2
104,1
105,1
106,2
107,2
108,2
109,1
110,2
111,2
112,2
113,2
114,2
118,2
124,0
126,2
128,0
129,0
132,2
133,2
135,1
136,0
148,2
149,2
155,3
156,3
157,3
158,3
159,3
160,2
164,2
247,0
248,0
249,0
254,0
283,1
285,2
286,2
291,3
292,3
293,3
294,3
304,1
305,1
338,2
340,1
342,2
343,2
344,1
345,2
346,2
353,2
356,2
360,2
361,2
364,2
365,0
372,0
377,2
378,1
380,0
388,0
389,1
391,0
392,1
393,1
394,2
395,2
396,0
397,1
398,0
400,0
402,0
407,1
413,1
416,0
418,0
419,0
420,1
421,0
422,1
423,2
429,0
430,1
444,1
450,1
459,1
460,1
466,1
467,3
468,3
479,2
483,2
575,2
576,2
577,2
579,2
580,2
581,2
582,2
587,2
589,0
590,0
591,0
592,0
594,2
595,0
602,2
606,0
613,2
614,2
617,2
618,2
631,2
635,1
636,1
637,2
640,1
641,1
644,2
651,1
652,2
653,2
654,2
655,2
658,1
659,1
672,2
674,2
677,2
680,2
681,2
682,2
690,3
691,3
692,3
693,3
694,3
702,2
779,2
782,2
787,2
788,2
796,2
798,2
808,2
809,2
810,2
819,2
820,2
821,2
822,2
825,2
827,2
836,2
837,2
838,2
839,2
850,2
862,2
863,2
864,2
872,3
873,3
874,3
875,3
876,3
877,3
878,3
879,3
880,3
898,2
899,2
900,2
901,2
903,2
904,2
911,2
912,2
978,2
979,2
980,2
989,2
993,2
994,2
1005,2
1006,2
1007,2
1014,2
1015,2
1033,2
1039,2
1040,3
1041,3
1042,3
1043,3
1044,3
1045,3
1103,2
1106,2
1107,2
1108,2
1109,2
1110,2
1111,2
1112,2
1114,2
1115,2
1116,2
1117,2
1118,2
1125,2
1126,2
1128,2
1130,2
1132,2
1136,2
1143,2
1145,2
1153,2
1154,2
1157,2
1159,2
1161,2
1162,2
1163,2
1165,2
1166,2
1167,2
1168,2
1170,2
1180,2
1181,2
1183,2
1189,2
1190,2
1191,2
1193,2
1196,3
1197,3
1198,3
1199,3
1200,3
1201,3
1202,3
1203,3
1295,2
1313,2
1322,2
1326,2
1328,2
1330,2
1331,2
1332,2
1337,2
1347,2
1355,2
1356,2
1357,2
1358,2
1370,3
1371,3
1372,3
1373,3
1374,3
1375,3
1376,3
1378,2
1380,2
1383,2
1386,2
1388,2
1389,2
1390,2
1391,2
1392,2
1397,2
1448,2
1449,2
1450,2
1451,2
1452,2
1463,2
1464,2
1466,2
1471,2
1472,2
1475,2
1481,2
1482,2
1488,3
1489,3
1490,3
1491,3
1495,2
1541,2
1542,2
1543,2
1544,1
1545,1
1546,1
1547,1
1548,1
1549,2
1550,2
1555,0
1556,2
1557,2
1559,0
1568,1
1569,0
1570,1
1571,2
1572,0
1574,2
1582,0
1583,2
1586,1
1587,0
1588,0
1589,2
1591,2
1592,2
1604,2
1631,2
1647,2
1648,2
1649,2
1650,2
1651,2
1655,3
1656,3
1657,3
1658,3
1659,3
1669,2
1670,2
1676,2
1677,2
1678,2
1770,2
1771,2
1772,2
1773,2
1774,1
1775,1
1778,2
1792,1
1793,1
1794,1
1795,1
1796,2
1801,1
1811,2
1816,1
1817,1
1819,1
1827,1
1829,1
1833,1
1834,1
1837,1
1838,1
1844,1
1845,1
1849,2
1851,1
1858,1
1859,2
1860,1
1868,0
1869,2
1870,0
1872,0
1884,3
1885,3
1886,3
1892,0
1894,0
1904,0
1906,0
1909,0
1910,0
1984,2
1985,2
1987,0
1988,2
1997,2
1999,2
2000,2
2001,2
2002,2
2003,2
2008,2
2009,2
2014,2
2027,2
2028,2
2030,3
2031,3
2032,3
2033,3
2034,3
2042,2
2051,2
2104,2
2107,2
2110,2
2115,2
2118,2
2125,2
2127,2
2128,2
2132,2
2133,2
2134,2
2135,2
2136,2
2138,2
2142,2
2143,2
2144,2
2148,2
2150,2
2151,2
2161,2
2163,2
2170,2
2171,2
2172,2
2173,2
2174,2
2181,2
2182,2
2184,2
2198,2
2200,2
2202,2
2203,2
2207,2
2211,2
2218,2
2219,2
2221,2
2234,2
2236,2
2242,3
2243,3
2244,3
2245,3
2246,3
2247,3
2248,3
2249,3
2250,3
2251,2
2252,2
2257,2
2260,2
2340,2
2342,1
2349,1
2360,1
2361,2
2367,1
2370,1
2371,1
2377,2
2387,1
2390,1
2391,1
2394,1
2396,1
2397,2
2405,2
2412,2
2413,2
2419,2
2424,2
2425,2
2426,0
2427,0
2428,0
2430,2
2441,2
2458,2
2460,2
2464,2
2465,0
2470,2
2475,2
2476,2
2478,0
2479,2
2480,0
2484,3
2485,3
2486,3
2487,3
2488,3
2489,3
2490,3
2497,0
2499,0
2502,2
2504,2
2505,0
2506,0
2508,2
2514,2
2515,2
2524,0
2525,0
2527,2
2625,2
2626,2
2627,2
2628,2
2629,2
2630,2
2634,2
2635,2
2636,2
2644,2
2655,2
2662,2
2664,2
2665,2
2666,2
2667,2
2668,2
2671,2
2672,2
2673,2
2685,2
2689,2
2694,2
2700,2
2704,2
2714,2
2744,3
2745,3
2746,3
2747,3
2748,3
2749,3
2750,3
2751,3
2752,3
2753,3
2754,3
2755,2
2756,2
2757,2
2758,2
2759,2
2760,2
2761,2
2762,2
2775,2
2873,2
2874,2
2877,2
2878,2
2879,2
2880,2
2884,2
2885,2
2887,2
2888,2
2890,2
2892,2
2894,2
2895,1
2896,1
2897,1
2898,0
2899,2
2900,1
2901,0
2903,0
2904,0
2910,2
2913,0
2917,1
2925,1
2926,2
2927,0
2933,2
2934,0
2943,1
2944,2
2945,2
2948,2
2949,2
2962,1
2986,2
2991,2
2993,2
2994,2
3028,0
3037,2
3041,2
3043,3
3044,3
3045,3
3046,3
3047,3
3048,3
3059,2
3073,2
3137,2
3138,2
3139,2
3141,2
3142,2
3143,2
3145,2
3146,2
3147,2
3148,2
3149,2
3150,2
3151,2
3153,2
3155,1
3157,1
3159,1
3160,1
3161,0
3162,0
3163,0
3172,0
3177,2
3178,0
3179,2
3181,1
3182,1
3186,1
3194,2
3195,2
3196,1
3197,0
3198,2
3199,2
3201,2
3204,2
3208,2
3214,2
3217,2
3231,2
3233,2
3235,2
3246,2
3247,2
3252,2
3254,2
3257,2
3266,3
3267,3
3268,3
3269,3
3270,3
3271,3
3272,3
3282,2
3287,2
3294,2
3381,2
3382,2
3383,2
3384,2
3390,2
3391,2
3392,2
3394,2
3395,2
3396,2
3398,2
3399,2
3402,2
3403,2
3404,3
3405,3
3406,3
3407,3
3413,2
3420,2
3421,2
3425,2
3426,2
3473,0
3474,0
3475,0
3477,0
3478,1
3481,1
3482,0
3484,0
3489,0
3500,0
3501,0
3505,0
3515,0
3516,0
3517,0
3518,0
3520,0
3522,0
3528,0
3529,0
3530,0
3531,0
3538,0
3541,0
3546,0
3547,3
3566,1
3572,1
3646,1
3647,2
3648,1
3649,2
3650,1
3651,1
3652,1
3653,1
3655,1
3656,1
3657,1
3658,1
3659,0
3665,1
3666,0
3671,1
3672,0
3673,2
3674,0
3692,2
3695,0
3697,0
3699,0
3706,2
3716,0
3718,2
3720,0
3723,0
3740,2
3746,2
3748,2
3749,2
3750,2
3752,1
3754,3
3755,3
3756,3
3757,3
3758,1
3765,2
3767,2
3769,1
3774,1
3778,2
3827,1
3828,1
3829,2
3835,2
3837,2
3857,2
3859,2
3860,2
3861,2
3862,2
3863,2
3864,2
3867,2
3869,2
3870,2
3871,2
3872,2
3876,2
3890,3
