item,worker,label
1851,5,0
1853,5,0
1854,5,0
1852,5,1
1850,5,0
1851,31,1
1853,31,0
1854,31,0
1852,31,0
1850,31,0
1851,66,1
1853,66,1
1854,66,0
1852,66,0
1850,66,0
1851,53,1
1853,53,1
1854,53,1
1852,53,0
1850,53,0
1851,35,1
1853,35,1
1854,35,1
1852,35,0
1850,35,0
665,5,0
667,5,1
668,5,0
666,5,0
669,5,0
665,31,0
667,31,0
668,31,0
666,31,0
669,31,0
665,66,1
667,66,1
668,66,0
666,66,0
669,66,0
665,53,1
667,53,1
668,53,0
666,53,0
669,53,0
665,35,1
667,35,1
668,35,0
666,35,0
669,35,0
361,3,1
363,3,1
362,3,0
364,3,0
360,3,0
361,66,1
363,66,1
362,66,0
364,66,0
360,66,0
361,53,1
363,53,1
362,53,0
364,53,0
360,53,0
361,35,1
363,35,1
362,35,0
364,35,0
360,35,0
527,5,0
528,5,1
529,5,0
525,5,0
526,5,0
527,49,1
528,49,0
529,49,0
525,49,0
526,49,0
527,59,1
528,59,0
529,59,0
525,59,0
526,59,0
527,31,1
528,31,0
529,31,0
525,31,0
526,31,0
527,66,1
528,66,0
529,66,0
525,66,0
526,66,0
599,68,0
596,68,0
597,68,0
598,68,0
595,68,0
599,5,0
596,5,0
597,5,0
598,5,1
595,5,0
599,31,1
596,31,0
597,31,0
598,31,0
595,31,0
599,66,0
596,66,0
597,66,0
598,66,0
595,66,0
599,53,1
596,53,0
597,53,1
598,53,0
595,53,0
216,5,0
218,5,0
219,5,0
217,5,1
215,5,0
216,31,0
218,31,0
219,31,0
217,31,1
215,31,0
216,66,1
218,66,1
219,66,0
217,66,0
215,66,0
216,70,1
218,70,1
219,70,0
217,70,0
215,70,0
216,53,1
218,53,1
219,53,0
217,53,0
215,53,0
662,5,0
663,5,0
661,5,0
664,5,1
660,5,0
662,31,0
663,31,0
661,31,0
664,31,0
660,31,0
662,66,0
663,66,1
661,66,1
664,66,0
660,66,0
948,5,0
947,5,0
945,5,0
946,5,1
949,5,0
948,31,0
947,31,1
945,31,0
946,31,0
949,31,0
948,66,0
947,66,0
945,66,0
946,66,0
949,66,0
948,53,0
947,53,0
945,53,0
946,53,1
949,53,0
948,35,0
947,35,1
945,35,1
946,35,0
949,35,1
1414,31,1
1410,31,0
1411,31,0
1412,31,0
1413,31,0
1414,66,0
1410,66,0
1411,66,0
1412,66,0
1413,66,0
1414,53,1
1410,53,0
1411,53,0
1412,53,0
1413,53,0
1414,35,1
1410,35,0
1411,35,0
1412,35,0
1413,35,0
76,5,0
78,5,0
77,5,1
79,5,0
75,5,0
76,31,1
78,31,0
77,31,0
79,31,0
75,31,0
76,66,1
78,66,1
77,66,0
79,66,0
75,66,0
76,53,1
78,53,1
77,53,0
79,53,0
75,53,0
76,35,1
78,35,1
77,35,0
79,35,0
75,35,0
1279,47,0
1278,47,0
1276,47,0
1277,47,0
1275,47,0
1279,5,0
1278,5,0
1276,5,0
1277,5,1
1275,5,0
1279,31,0
1278,31,0
1276,31,0
1277,31,1
1275,31,0
1279,66,0
1278,66,0
1276,66,0
1277,66,0
1275,66,0
1279,53,1
1278,53,1
1276,53,1
1277,53,0
1275,53,0
584,5,0
582,5,0
583,5,1
580,5,0
581,5,0
584,31,1
582,31,0
583,31,0
580,31,0
581,31,0
584,66,0
582,66,0
583,66,0
580,66,0
581,66,0
584,53,0
582,53,0
583,53,0
580,53,0
581,53,0
584,35,1
582,35,0
583,35,1
580,35,0
581,35,0
784,5,0
782,5,0
781,5,0
780,5,0
783,5,1
784,31,0
782,31,0
781,31,0
780,31,0
783,31,0
784,53,1
782,53,1
781,53,1
780,53,0
783,53,0
784,35,1
782,35,1
781,35,0
780,35,1
783,35,0
784,14,0
782,14,0
781,14,0
780,14,1
783,14,1
1013,5,0
1014,5,1
1011,5,0
1012,5,0
1010,5,0
1013,31,0
1014,31,0
1011,31,0
1012,31,1
1010,31,0
1013,53,1
1014,53,0
1011,53,1
1012,53,0
1010,53,0
1013,35,1
1014,35,0
1011,35,1
1012,35,0
1010,35,0
1193,5,1
1194,5,0
1191,5,0
1192,5,0
1190,5,0
1193,66,0
1194,66,0
1191,66,0
1192,66,0
1190,66,0
1193,53,0
1194,53,1
1191,53,1
1192,53,0
1190,53,0
1193,35,0
1194,35,1
1191,35,1
1192,35,1
1190,35,0
1493,5,0
1491,5,0
1494,5,0
1492,5,1
1490,5,0
1493,31,0
1491,31,1
1494,31,0
1492,31,0
1490,31,0
1493,66,0
1491,66,0
1494,66,0
1492,66,0
1490,66,0
1493,53,0
1491,53,0
1494,53,1
1492,53,0
1490,53,0
1188,66,0
1186,66,0
1189,66,0
1185,66,0
1187,66,0
1188,53,0
1186,53,0
1189,53,0
1185,53,0
1187,53,0
1188,35,0
1186,35,0
1189,35,1
1185,35,1
1187,35,0
2024,5,0
2022,5,1
2023,5,0
2020,5,0
2021,5,0
2024,66,0
2022,66,0
2023,66,0
2020,66,0
2021,66,0
2024,53,0
2022,53,0
2023,53,1
2020,53,0
2021,53,0
531,5,1
534,5,0
533,5,0
532,5,0
530,5,0
531,49,1
534,49,1
533,49,0
532,49,0
530,49,0
531,66,1
534,66,1
533,66,0
532,66,0
530,66,0
531,53,1
534,53,1
533,53,0
532,53,0
530,53,0
531,35,1
534,35,1
533,35,0
532,35,0
530,35,0
589,5,0
588,5,0
586,5,0
587,5,1
585,5,0
589,31,0
588,31,0
586,31,0
587,31,1
585,31,0
589,53,0
588,53,0
586,53,0
587,53,0
585,53,0
589,66,0
588,66,0
586,66,0
587,66,0
585,66,0
589,35,1
588,35,1
586,35,1
587,35,0
585,35,0
29,5,0
25,5,0
27,5,0
26,5,1
28,5,0
29,31,0
25,31,0
27,31,0
26,31,1
28,31,0
29,66,0
25,66,0
27,66,0
26,66,0
28,66,0
29,53,0
25,53,0
27,53,1
26,53,0
28,53,0
29,35,1
25,35,0
27,35,1
26,35,0
28,35,0
557,31,0
555,31,1
559,31,0
556,31,0
558,31,0
557,53,0
555,53,1
559,53,0
556,53,0
558,53,0
557,35,1
555,35,1
559,35,0
556,35,0
558,35,0
87,5,0
89,5,0
86,5,0
88,5,1
85,5,0
87,31,0
89,31,1
86,31,0
88,31,0
85,31,0
87,32,0
89,32,0
86,32,0
88,32,1
85,32,1
87,66,0
89,66,0
86,66,0
88,66,0
85,66,0
87,53,0
89,53,1
86,53,1
88,53,0
85,53,0
1180,5,0
1183,5,0
1182,5,0
1181,5,1
1184,5,0
1180,66,0
1183,66,0
1182,66,0
1181,66,0
1184,66,0
1180,53,0
1183,53,0
1182,53,0
1181,53,0
1184,53,0
1180,35,1
1183,35,0
1182,35,1
1181,35,0
1184,35,0
64,5,0
61,5,0
63,5,1
62,5,0
60,5,0
64,31,0
61,31,0
63,31,0
62,31,1
60,31,0
64,17,0
61,17,0
63,17,0
62,17,0
60,17,0
64,66,0
61,66,0
63,66,0
62,66,0
60,66,0
64,53,0
61,53,0
63,53,0
62,53,0
60,53,0
1396,5,0
1398,5,0
1397,5,1
1399,5,0
1395,5,0
1396,31,1
1398,31,0
1397,31,0
1399,31,0
1395,31,0
1396,66,1
1398,66,1
1397,66,0
1399,66,0
1395,66,0
1396,53,1
1398,53,1
1397,53,0
1399,53,0
1395,53,0
1396,35,1
1398,35,1
1397,35,0
1399,35,0
1395,35,0
57,5,0
55,5,0
56,5,0
59,5,1
58,5,0
57,59,0
55,59,1
56,59,0
59,59,0
58,59,1
57,31,0
55,31,0
56,31,1
59,31,0
58,31,0
57,66,1
55,66,1
56,66,0
59,66,0
58,66,0
57,53,1
55,53,1
56,53,0
59,53,0
58,53,0
1771,5,0
1773,5,0
1770,5,0
1774,5,1
1772,5,0
1771,31,0
1773,31,0
1770,31,0
1774,31,0
1772,31,0
1771,66,0
1773,66,0
1770,66,1
1774,66,0
1772,66,0
1771,53,1
1773,53,0
1770,53,1
1774,53,1
1772,53,0
1771,35,1
1773,35,0
1770,35,1
1774,35,1
1772,35,0
1894,5,0
1892,5,0
1891,5,1
1890,5,0
1893,5,0
1894,66,1
1892,66,0
1891,66,0
1890,66,0
1893,66,0
1894,53,1
1892,53,0
1891,53,0
1890,53,1
1893,53,0
550,5,0
552,5,0
553,5,1
551,5,0
