item,truth
40,0
168,3
198,0
200,3
208,3
330,3
335,0
353,0
367,0
379,3
484,0
489,3
513,0
602,0
619,0
627,0
628,0
629,0
630,0
631,1
632,0
633,0
636,0
637,2
638,0
639,0
640,0
641,2
643,0
644,0
647,0
648,1
649,0
650,1
651,0
652,0
653,0
663,0
680,0
709,0
730,1
735,0
751,0
769,3
773,0
776,0
799,0
824,3
830,3
844,1
861,0
874,0
880,0
881,0
1011,0
1064,3
1068,1
1094,3
1153,0
1156,0
1159,0
1183,0
1222,1
1251,0
1256,0
1263,3
1265,3
1288,0
1297,0
1311,0
1325,0
1329,0
1334,1
1361,0
1415,3
1422,0
1505,0
1513,1
1521,0
1555,0
1567,2
1575,0
1594,2
1595,1
1596,1
1597,2
1598,2
1599,2
1600,1
1602,1
1604,2
1605,3
1606,1
1607,2
1608,1
1610,1
1611,1
1612,2
1613,1
1614,1
1615,2
1616,2
1617,1
1618,1
1620,1
1625,0
1635,3
1652,0
1691,3
1746,0
1764,0
1775,0
1811,0
1822,0
1823,0
1826,0
1837,0
1838,0
1846,0
1929,0
1933,3
1943,2
1962,0
1981,0
2000,0
2023,0
2064,1
2086,1
2140,1
2142,3
2172,1
2181,0
2188,3
2232,0
2250,0
2257,0
2266,2
2268,0
2277,1
2279,1
2280,1
2290,2
2291,2
2293,1
2295,2
2296,2
2297,2
2298,1
2299,0
2300,2
2301,0
2302,2
2303,2
2304,0
2307,2
2308,2
2309,2
2310,2
2313,1
2314,0
2315,1
2316,2
2317,1
2331,0
2337,3
2346,0
2360,0
2434,0
2445,3
2446,0
2458,0
2487,0
2492,0
2493,0
2544,0
2551,1
2563,0
2569,0
2671,0
2698,0
2710,0
2712,1
2727,2
2732,1
2742,1
2757,3
2770,0
2788,0
2797,3
2799,0
2804,0
2849,1
2893,0
2912,0
2952,2
2976,0
2981,0
2993,0
3030,3
3036,1
3040,1
3067,0
3078,0
3092,0
3093,0
3096,3
3142,0
3150,3
3154,0
3161,0
3162,3
3165,0
3175,3
3182,0
3312,0
3328,0
3404,0
3416,0
3422,3
3452,0
3471,0
3475,0
3509,0
3547,0
3549,0
3579,0
3603,0
3621,2
3657,0
3665,0
3671,0
3676,3
3705,0
3721,1
3722,1
3731,0
3737,0
3744,0
3797,0
3803,0
3815,0
3858,0
3890,0
3892,0
3938,0
3952,1
3973,1
4028,0
4032,0
4046,0
4051,0
4122,0
4159,0
4185,0
4188,0
4262,0
4269,0
4283,3
4306,0
4309,3
4326,0
4327,0
4334,3
4336,0
4396,0
4408,1
4412,0
4451,1
4513,0
4516,3
4517,3
4519,3
4521,3
4544,0
4561,0
4562,0
4575,3
4578,3
4579,3
4591,3
4596,0
4598,0
4601,0
5343,1
5426,1
5509,3
6117,0
6122,2
6168,2
6330,1
6404,0
6438,1
6494,3
6518,0
6666,2
6712,2
6743,0
7027,1
7288,0
7689,3
8120,0
8380,0
8390,0
8519,0
8660,0
8692,0
8848,0
9071,3
9424,1
9475,1
9512,0
9610,0
9822,1
10088,1
10256,2
10272,0
10296,0
10591,0
10623,0
10712,1
10713,3
10716,1
10718,1
10721,0
10724,2
10725,3
10726,1
10727,1
10729,0
10730,3
10754,0
10914,0
10926,0
