item,worker,label
1851,19,1
1853,19,1
1854,19,1
1852,19,0
1850,19,0
1851,13,1
1853,13,1
1854,13,1
1852,13,0
1850,13,0
1851,7,1
1853,7,0
1854,7,0
1852,7,1
1850,7,0
1851,9,1
1853,9,1
1854,9,1
1852,9,0
1850,9,0
1851,5,0
1853,5,0
1854,5,0
1852,5,1
1850,5,0
361,0,1
363,0,0
362,0,1
364,0,0
360,0,0
361,19,1
363,19,1
362,19,0
364,19,0
360,19,0
361,1,1
363,1,1
362,1,0
364,1,0
360,1,0
361,7,1
363,7,0
362,7,0
364,7,1
360,7,0
361,5,1
363,5,1
362,5,0
364,5,0
360,5,0
527,1,0
528,1,0
529,1,0
525,1,0
526,1,0
527,7,0
528,7,1
529,7,0
525,7,0
526,7,0
527,9,0
528,9,0
529,9,1
525,9,0
526,9,0
527,5,1
528,5,0
529,5,0
525,5,0
526,5,0
527,19,1
528,19,0
529,19,0
525,19,0
526,19,0
599,1,0
596,1,0
597,1,0
598,1,0
595,1,0
599,20,1
596,20,0
597,20,0
598,20,0
595,20,0
599,7,1
596,7,1
597,7,0
598,7,0
595,7,0
599,5,1
596,5,0
597,5,1
598,5,0
595,5,0
599,19,1
596,19,0
597,19,1
598,19,0
595,19,0
216,12,1
218,12,0
219,12,1
217,12,0
215,12,0
216,19,1
218,19,1
219,19,0
217,19,0
215,19,0
216,20,0
218,20,1
219,20,0
217,20,0
215,20,0
216,9,1
218,9,1
219,9,0
217,9,0
215,9,0
216,7,0
218,7,0
219,7,1
217,7,1
215,7,0
662,5,0
663,5,1
661,5,0
664,5,0
660,5,0
662,20,0
663,20,0
661,20,1
664,20,0
660,20,0
662,19,1
663,19,1
661,19,0
664,19,0
660,19,0
948,19,1
947,19,1
945,19,1
946,19,0
949,19,0
948,5,0
947,5,0
945,5,0
946,5,1
949,5,1
948,8,0
947,8,0
945,8,1
946,8,0
949,8,1
948,1,0
947,1,0
945,1,0
946,1,0
949,1,0
948,9,1
947,9,1
945,9,1
946,9,0
949,9,0
1414,10,0
1410,10,0
1411,10,0
1412,10,0
1413,10,0
1414,19,1
1410,19,0
1411,19,0
1412,19,0
1413,19,0
1414,12,1
1410,12,0
1411,12,0
1412,12,0
1413,12,0
1414,9,1
1410,9,0
1411,9,0
1412,9,0
1413,9,0
1414,0,0
1410,0,0
1411,0,0
1412,0,0
1413,0,0
76,19,1
78,19,1
77,19,0
79,19,0
75,19,0
76,9,0
78,9,0
77,9,1
79,9,1
75,9,0
76,12,0
78,12,0
77,12,1
79,12,1
75,12,0
76,5,0
78,5,0
77,5,1
79,5,1
75,5,0
76,20,0
78,20,1
77,20,0
79,20,0
75,20,0
1279,9,1
1278,9,1
1276,9,1
1277,9,0
1275,9,0
1279,12,1
1278,12,0
1276,12,1
1277,12,1
1275,12,0
1279,20,0
1278,20,0
1276,20,1
1277,20,0
1275,20,0
1279,13,1
1278,13,0
1276,13,1
1277,13,1
1275,13,0
1279,14,1
1278,14,0
1276,14,1
1277,14,1
1275,14,0
584,10,1
582,10,1
583,10,0
580,10,0
581,10,0
584,9,1
582,9,1
583,9,0
580,9,0
581,9,0
584,19,0
582,19,0
583,19,0
580,19,0
581,19,0
584,7,1
582,7,0
583,7,1
580,7,0
581,7,0
584,20,0
582,20,0
583,20,0
580,20,0
581,20,0
784,4,1
782,4,1
781,4,1
780,4,0
783,4,0
784,19,1
782,19,1
781,19,1
780,19,0
783,19,0
784,5,0
782,5,1
781,5,1
780,5,0
783,5,0
784,7,1
782,7,0
781,7,1
780,7,0
783,7,0
784,14,1
782,14,0
781,14,0
780,14,1
783,14,1
1013,19,1
1014,19,0
1011,19,0
1012,19,0
1010,19,0
1013,12,0
1014,12,1
1011,12,1
1012,12,0
1010,12,0
1013,4,0
1014,4,1
1011,4,1
1012,4,0
1010,4,0
1013,7,0
1014,7,1
1011,7,1
1012,7,0
1010,7,0
1013,5,0
1014,5,1
1011,5,0
1012,5,0
1010,5,0
1193,10,1
1194,10,1
1191,10,0
1192,10,0
1190,10,0
1193,2,0
1194,2,1
1191,2,1
1192,2,0
1190,2,0
1193,12,0
1194,12,1
1191,12,1
1192,12,1
1190,12,0
1193,4,1
1194,4,1
1191,4,1
1192,4,0
1190,4,0
1193,7,1
1194,7,0
1191,7,1
1192,7,0
1190,7,0
1493,10,1
1491,10,0
1494,10,0
1492,10,0
1490,10,0
1493,9,0
1491,9,1
1494,9,0
1492,9,0
1490,9,0
1493,1,0
1491,1,0
1494,1,0
1492,1,0
1490,1,0
1493,19,0
1491,19,0
1494,19,1
1492,19,0
1490,19,0
1188,10,0
1186,10,0
1189,10,0
1185,10,0
1187,10,0
1188,0,1
1186,0,1
1189,0,0
1185,0,0
1187,0,0
1188,20,0
1186,20,0
1189,20,0
1185,20,0
1187,20,0
1188,14,0
1186,14,0
1189,14,1
1185,14,1
1187,14,0
1188,9,0
1186,9,0
1189,9,1
1185,9,0
1187,9,1
2024,7,1
2022,7,0
2023,7,0
2020,7,0
2021,7,0
2024,9,0
2022,9,1
2023,9,0
2020,9,0
2021,9,0
2024,14,0
2022,14,0
2023,14,1
2020,14,0
2021,14,0
2024,5,1
2022,5,0
2023,5,0
2020,5,0
2021,5,0
2024,19,0
2022,19,0
2023,19,0
2020,19,0
2021,19,0
531,19,1
534,19,0
533,19,0
532,19,0
530,19,0
531,20,1
534,20,0
533,20,0
532,20,0
530,20,0
531,9,1
534,9,1
533,9,0
532,9,0
530,9,0
531,14,0
534,14,1
533,14,1
532,14,0
530,14,0
531,7,0
534,7,1
533,7,0
532,7,1
530,7,0
589,19,1
588,19,1
586,19,1
587,19,0
585,19,0
589,12,1
588,12,0
586,12,0
587,12,1
585,12,1
589,4,1
588,4,0
586,4,0
587,4,1
585,4,1
589,9,1
588,9,1
586,9,0
587,9,0
585,9,1
589,5,0
588,5,0
586,5,1
587,5,1
585,5,0
29,19,0
25,19,0
27,19,1
26,19,0
28,19,0
29,3,0
25,3,0
27,3,0
26,3,0
28,3,0
29,7,1
25,7,0
27,7,0
26,7,1
28,7,0
29,5,0
25,5,0
27,5,0
26,5,0
28,5,1
29,9,1
25,9,0
27,9,1
26,9,0
28,9,0
557,4,0
555,4,0
559,4,1
556,4,1
558,4,0
557,5,0
555,5,1
559,5,0
556,5,0
558,5,1
557,14,0
555,14,1
559,14,0
