item,worker,label
0,0,4
0,1,4
0,2,4
0,3,4
0,4,4
0,5,4
1,0,0
1,11,0
1,15,0
1,27,0
1,28,0
1,44,0
2,107,1
2,100,0
2,40,4
2,1,0
2,0,0
2,6,0
3,114,3
3,0,0
3,11,0
3,12,0
3,13,0
3,103,0
4,0,1
4,1,1
4,3,3
4,15,1
4,28,2
4,43,0
5,70,3
5,30,4
5,6,1
5,29,2
6,2,4
6,6,4
6,7,4
6,8,4
6,9,4
6,10,4
7,33,0
7,0,4
7,7,3
7,13,4
7,15,4
7,32,4
8,88,0
8,84,4
8,29,1
8,0,0
8,7,0
8,15,0
9,13,4
9,1,4
9,10,3
9,11,4
9,12,4
9,14,4
10,15,2
10,16,4
10,13,4
10,8,4
10,2,3
10,0,4
11,1,0
11,11,0
11,13,4
11,15,0
11,29,2
11,30,1
12,18,4
12,17,1
12,19,4
12,7,4
12,0,3
12,15,2
13,20,4
13,10,4
13,51,4
13,6,3
13,2,4
13,7,3
14,2,4
14,6,2
14,11,4
14,20,4
14,21,4
14,22,4
15,24,0
15,23,1
15,15,1
15,3,1
15,2,1
15,12,1
16,3,1
16,6,0
16,7,4
16,25,1
16,26,1
16,27,0
17,65,4
17,13,4
17,64,4
17,2,4
17,0,4
17,6,4
18,0,2
18,2,0
18,3,2
18,12,1
18,23,2
18,28,3
19,32,2
19,0,3
19,2,1
19,13,3
19,15,0
19,106,1
20,24,0
20,26,0
20,11,0
20,3,2
20,6,0
20,2,3
21,6,0
21,7,0
21,15,0
21,21,0
21,32,0
21,51,0
22,15,4
22,12,4
22,16,4
22,7,4
22,4,4
22,8,4
23,29,4
23,15,4
23,30,4
23,12,4
23,2,3
23,13,3
24,1,2
24,2,2
24,3,4
24,5,2
24,8,3
24,11,3
25,58,4
25,36,4
25,29,2
25,12,2
25,0,2
25,15,3
26,1,4
26,2,4
26,25,4
26,31,0
26,32,4
26,33,4
27,52,2
27,40,4
27,41,4
27,1,4
27,0,2
27,11,3
28,0,2
28,2,1
28,3,3
28,11,1
28,19,3
28,28,2
29,58,3
29,2,2
29,12,3
29,15,2
29,40,4
29,68,2
30,28,4
30,34,1
30,7,2
30,6,1
30,3,3
30,25,1
31,0,1
31,2,1
31,12,1
31,40,3
31,42,3
31,68,3
32,11,2
32,37,4
32,36,4
32,2,2
32,7,2
32,35,3
33,38,4
33,28,1
33,10,3
33,1,4
33,2,4
33,7,4
34,104,2
34,100,1
34,105,0
34,12,1
34,0,1
34,15,1
35,39,4
35,33,3
35,32,3
35,15,2
35,0,3
35,25,3
36,6,3
36,11,3
36,12,2
36,53,4
36,54,3
36,57,4
37,77,2
37,52,3
37,41,3
37,12,2
37,1,2
37,7,3
38,0,2
38,1,2
38,15,2
38,40,2
38,41,2
38,42,4
39,40,4
39,6,1
39,41,2
39,0,2
39,1,2
39,42,3
40,31,1
40,19,4
40,7,2
40,3,3
40,2,2
40,1,1
41,6,1
41,7,2
41,15,0
41,35,3
41,43,4
41,44,1
42,78,4
42,52,4
42,108,4
42,2,4
42,0,4
42,6,4
43,0,4
43,1,0
43,33,4
43,35,2
43,44,4
44,77,4
44,52,0
44,20,3
44,0,4
44,7,3
44,11,1
45,36,3
45,45,2
45,35,2
45,6,1
45,2,2
45,11,2
46,6,0
46,7,0
46,12,1
46,28,1
46,32,3
46,46,1
47,54,0
47,56,3
47,53,0
47,25,0
47,7,0
47,6,1
48,0,2
48,2,1
48,6,1
48,29,2
48,103,4
48,109,0
49,29,1
49,7,0
49,103,4
49,0,1
49,2,1
49,109,0
50,109,4
50,103,4
50,29,4
50,11,4
50,12,4
50,6,4
51,6,0
51,12,0
51,15,0
51,54,0
51,56,3
52,0,0
52,12,1
52,15,0
52,28,0
52,35,0
52,56,0
53,54,0
53,39,1
53,0,1
53,7,0
53,15,0
54,0,1
54,3,1
54,7,0
54,12,1
54,43,4
54,47,0
55,54,3
55,56,3
55,53,0
55,11,3
55,7,3
55,0,3
56,2,3
56,6,3
56,15,3
56,21,3
56,64,3
56,76,4
57,81,4
57,21,2
57,29,3
57,2,3
57,0,3
57,7,3
58,1,3
58,7,3
58,12,3
58,141,4
58,143,3
58,145,3
59,28,4
59,6,4
59,10,3
59,11,3
59,12,4
59,44,4
60,36,3
60,35,0
60,44,1
60,7,0
60,6,0
60,15,0
61,64,0
61,32,4
61,30,3
61,0,3
61,6,3
61,11,4
62,7,1
62,15,0
62,44,4
62,48,4
63,6,0
63,7,0
63,13,3
63,15,0
63,31,1
63,64,4
64,49,4
64,37,4
64,35,4
64,2,3
64,25,3
64,1,3
65,0,3
65,2,3
65,13,3
65,15,3
65,36,4
65,64,3
66,51,4
66,50,3
66,21,4
66,11,4
66,2,4
66,15,4
67,0,0
67,1,0
67,11,4
67,31,3
67,33,4
68,41,4
68,40,2
68,52,4
68,7,1
68,1,1
68,15,1
69,33,3
69,31,2
69,38,1
69,6,3
69,1,2
69,15,1
70,0,4
70,1,4
70,3,4
70,7,4
70,27,4
70,34,3
71,22,0
71,20,4
71,21,2
71,1,1
71,0,1
71,12,1
72,0,4
72,1,4
72,7,4
72,33,4
72,39,4
72,44,4
73,64,3
73,51,4
73,36,4
73,2,4
73,0,4
73,15,4
74,0,2
74,6,2
74,15,1
74,53,4
74,54,3
74,55,0
75,53,3
75,54,0
75,55,0
76,55,0
76,53,0
76,57,1
76,6,2
76,2,0
76,7,2
77,15,1
77,12,1
77,62,4
77,8,4
77,2,4
77,10,1
78,0,2
78,3,2
78,6,2
78,7,2
78,24,1
78,168,4
79,133,2
79,78,4
79,25,1
79,12,2
79,2,2
79,13,3
80,2,2
80,6,2
80,7,2
80,53,4
80,54,4
80,56,3
81,90,4
81,0,3
81,11,4
81,12,4
81,56,4
81,117,3
82,58,4
82,56,3
82,32,4
82,12,4
82,11,4
82,1,4
83,2,0
83,6,1
83,11,1
83,29,4
83,84,4
83,85,4
84,84,2
84,29,3
84,85,0
84,12,1
84,6,2
84,15,0
85,27,4
85,15,4
85,53,4
85,2,4
85,0,4
85,13,4
86,1,4
86,12,1
86,83,2
86,84,4
86,132,4
87,54,2
87,56,3
87,53,4
87,7,4
87,0,3
87,15,4
88,0,2
88,1,0
88,5,2
88,11,4
88,62,4
88,92,3
89,54,3
89,56,4
89,53,4
89,7,3
89,1,2
89,0,3
90,0,4
90,1,4
90,11,4
90,117,3
90,118,4
90,142,4
91,32,4
91,11,4
91,56,4
91,6,4
91,7,4
91,58,4
92,2,4
92,121,4
92,84,4
92,0,4
92,15,4
92,29,4
93,2,0
93,15,0
93,53,4
93,55,1
93,59,1
94,0,4
94,1,1
94,11,4
94,90,2
94,117,2
95,56,2
95,54,0
95,53,0
95,15,3
95,6,3
95,7,3
96,2,4
96,11,4
96,25,0
96,86,0
96,87,4
96,92,3
97,8,4
97,39,4
97,46,2
97,7,1
97,2,3
97,6,0
98,0,2
98,7,1
98,11,3
98,53,4
98,54,1
98,55,0
99,144,1
99,86,2
99,92,4
99,2,2
99,0,1
99,15,3
100,0,1
100,2,4
100,15,4
100,53,4
100,54,4
100,55,3
101,90,4
101,0,4
101,11,4
101,15,4
101,86,2
101,92,4
102,60,1
102,15,2
102,53,4
102,11,3
102,2,2
102,13,4
103,0,2
103,1,3
103,7,3
103,62,2
103,69,3
103,123,4
104,6,3
104,7,3
104,11,3
104,13,1
104,32,3
104,56,3
105,158,2
105,62,3
105,61,1
105,6,1
105,7,1
105,15,2
106,0,3
106,2,3
106,15,3
106,61,4
106,62,3
106,63,4
107,55,0
107,25,0
107,53,0
107,12,0
107,0,0
107,13,0
108,0,1
108,11,0
108,12,1
108,53,0
108,54,2
108,55,2
109,65,4
109,64,1
109,66,1
109,11,2
109,7,1
109,12,1
110,29,4
110,21,4
110,82,3
110,0,4
110,15,4
110,7,4
111,0,0
111,7,0
111,13,3
111,15,1
111,32,3
111,35,4
112,67,1
