item,truth
1851,1
1853,1
1854,0
1852,0
1850,0
361,1
363,1
362,0
364,0
360,0
527,1
528,0
529,0
525,0
526,0
599,0
596,0
597,0
598,0
595,0
216,1
218,1
219,0
217,0
215,0
662,1
663,0
661,0
664,0
660,0
948,0
947,0
945,0
946,0
949,0
1414,0
1410,0
1411,0
1412,0
1413,0
76,0
78,0
77,0
79,0
75,0
1279,0
1278,0
1276,0
1277,0
1275,0
584,0
582,0
583,0
580,0
581,0
784,0
782,0
781,0
780,0
783,0
1013,0
1014,0
1011,0
1012,0
1010,0
1193,0
1194,0
1191,0
1192,0
1190,0
1493,0
1491,0
1494,0
1492,0
1490,0
1188,0
1186,0
1189,0
1185,0
1187,0
2024,0
2022,0
2023,0
2020,0
2021,0
531,1
534,1
533,0
532,0
530,0
589,0
588,0
586,0
587,0
585,0
29,1
25,1
27,0
26,0
28,0
557,1
555,1
559,0
556,0
558,0
87,0
89,0
86,0
88,0
85,0
1180,0
1183,0
1182,0
1181,0
1184,0
64,0
61,0
63,0
62,0
60,0
1396,1
1398,1
1397,0
1399,0
1395,0
57,1
55,1
56,0
59,0
58,0
1771,1
1773,1
1770,1
1774,0
1772,0
1894,1
1892,1
1891,0
1890,0
1893,0
550,1
552,1
553,0
551,0
554,0
855,1
858,1
857,0
859,0
856,0
776,1
777,1
775,1
778,0
779,0
1543,1
1542,1
1544,0
1540,0
1541,0
1401,1
1402,1
1404,0
1400,0
1403,0
54,1
53,0
51,0
52,0
50,0
169,1
165,0
167,0
166,0
168,0
1917,1
1919,0
1918,0
1915,0
1916,0
1309,1
1308,0
1305,0
1306,0
1307,0
1426,0
1427,0
1428,0
1429,0
1425,0
124,1
120,1
121,0
122,0
123,0
1424,0
1423,0
1422,0
1420,0
1421,0
1972,0
1971,0
1974,0
1973,0
1970,0
369,1
365,0
366,0
367,0
368,0
916,1
919,0
915,0
918,0
917,0
408,0
409,0
406,0
407,0
405,0
119,1
116,1
117,0
118,0
115,0
1976,1
1977,1
1978,0
1979,0
1975,0
1087,0
1088,0
1086,0
1089,0
1085,0
402,1
400,1
403,0
404,0
401,0
1710,1
1711,1
1712,1
1714,0
1713,0
1969,1
1965,0
1966,0
1967,0
1968,0
1528,1
1529,1
1526,0
1527,0
1525,0
173,1
172,1
174,0
170,0
171,0
134,1
133,0
130,0
131,0
132,0
501,1
502,1
504,0
503,0
500,0
127,0
129,0
128,0
125,0
126,0
1789,1
1785,1
1788,0
1786,0
1787,0
575,1
578,1
576,0
577,0
579,0
1808,0
1806,0
1805,0
1809,0
1807,0
18,1
17,1
16,0
19,0
15,0
1717,1
1716,1
1718,0
1719,0
1715,0
153,1
151,0
154,0
152,0
150,0
1119,0
1116,0
1117,0
1118,0
1115,0
665,1
667,1
668,0
666,0
669,0
1024,1
1021,0
1023,0
1022,0
1020,0
871,1
874,1
873,0
872,0
870,0
832,1
834,0
831,0
833,0
830,0
1439,0
1435,0
1438,0
1436,0
1437,0
689,0
687,0
688,0
685,0
686,0
1252,0
1254,0
1253,0
1250,0
1251,0
2025,1
2027,1
2026,0
2028,0
2029,0
1857,1
1859,1
1856,0
1858,0
1855,0
942,1
943,1
944,0
940,0
941,0
1939,1
1938,1
1935,0
1937,0
1936,0
791,1
792,1
794,0
793,0
790,0
1960,1
1961,1
1964,0
1962,0
1963,0
1655,1
1657,1
1658,0
1659,0
1656,0
413,0
411,0
412,0
414,0
410,0
746,1
748,1
747,0
749,0
745,0
1446,1
1447,1
1449,0
1448,0
1445,0
894,1
892,1
893,0
890,0
891,0
905,1
907,1
906,0
908,0
909,0
1682,1
1684,1
1683,0
1681,0
1680,0
711,1
713,1
712,0
714,0
710,0
640,1
644,1
643,0
641,0
642,0
753,0
751,0
752,0
754,0
750,0
1537,0
1539,0
1538,0
1535,0
1536,0
175,1
177,1
176,0
179,0
178,0
344,0
340,0
342,0
341,0
343,0
707,1
705,1
709,0
708,0
706,0
316,0
319,0
318,0
317,0
315,0
1846,1
1849,1
1845,0
1848,0
1847,0
1569,0
1567,0
1568,0
1565,0
1566,0
272,1
273,1
271,0
274,0
270,0
722,1
724,1
721,0
723,0
720,0
957,0
959,0
958,0
955,0
956,0
510,1
512,1
513,0
511,0
514,0
221,1
224,1
222,0
223,0
220,0
1914,0
1911,0
1913,0
1912,0
1910,0
1635,1
1637,1
1639,1
1636,0
1638,0
375,1
378,1
379,0
377,0
376,0
594,0
590,0
591,0
592,0
593,0
1160,1
1161,1
1164,0
1163,0
1162,0
1096,0
1099,0
1098,0
1095,0
1097,0
1236,0
1235,0
1237,0
1238,0
1239,0
383,1
380,1
384,0
381,0
382,0
516,1
519,1
517,0
518,0
515,0
1156,1
1157,0
1159,0
1158,0
1155,0
800,1
802,1
803,1
804,0
801,0
1831,1
1832,1
1834,1
1833,0
1830,0
499,0
497,0
496,0
498,0
495,0
209,0
208,0
207,0
205,0
206,0
1019,1
1017,0
1018,0
1015,0
1016,0
1028,1
1026,1
1029,0
1027,0
1025,0
763,1
764,0
761,0
762,0
760,0
1818,1
1817,1
1819,0
1816,0
1815,0
1584,0
1582,0
1583,0
1580,0
1581,0
572,1
574,1
573,0
570,0
571,0
1652,0
1654,0
1651,0
1653,0
1650,0
614,0
613,0
612,0
610,0
611,0
616,0
619,0
618,0
617,0
615,0
189,1
188,0
186,0
187,0
180,0
200,1
204,1
201,0
203,0
202,0
146,1
149,0
145,0
147,0
148,0
447,1
449,1
448,0
445,0
446,0
81,1
82,1
84,0
83,0
80,0
882,0
883,0
884,0
880,0
881,0
913,0
912,0
914,0
911,0
910,0
1889,1
1887,0
1888,0
1885,0
1886,0
1450,1
1453,1
1451,1
1454,0
1452,0
876,1
877,1
879,0
878,0
875,0
860,0
863,0
864,0
861,0
862,0
1240,1
1241,1
1243,0
1244,0
1242,0
1881,1
1882,1
1884,0
1883,0
1880,0
1389,1
1387,0
1388,0
1385,0
1386,0
71,1
73,1
70,1
72,0
74,0
33,0
31,0
34,0
32,0
30,0
1802,1
1803,1
1804,0
1801,0
1800,0
157,0
158,0
159,0
155,0
156,0
737,1
738,1
739,0
735,0
736,0
1618,1
1617,0
1619,0
1615,0
1616,0
1720,1
1721,1
1723,0
1724,0
1722,0
1257,1
1258,1
1259,0
1255,0
1256,0
888,1
889,0
887,0
885,0
886,0
1091,1
1093,1
1094,0
1092,0
1090,0
1076,0
1079,0
1078,0
1077,0
1075,0
1981,1
1983,1
1984,0
1982,0
1980,0
1810,1
1811,1
1814,1
1813,0
1812,0
630,1
631,1
633,1
632,0
634,0
1321,1
1323,1
1324,0
1322,0
1320,0
1993,0
1994,0
1992,0
1990,0
1991,0
191,1
193,1
192,0
194,0
190,0
549,0
548,0
547,0
546,0
545,0
1578,1
1577,0
1579,0
1576,0
1575,0
1599,0
1596,0
1595,0
1598,0
1597,0
47,1
49,1
46,0
45,0
48,0
357,0
356,0
359,0
358,0
355,0
1842,1
1843,1
1841,0
1844,0
1840,0
164,0
162,0
163,0
161,0
160,0
197,1
199,1
198,0
195,0
196,0
211,1
213,1
214,0
212,0
210,0
567,1
569,1
568,0
565,0
566,0
896,1
898,1
899,0
897,0
895,0
542,1
543,1
541,1
544,0
540,0
841,1
844,0
842,0
840,0
843,0
1554,0
1552,0
1553,0
1550,0
1551,0
2017,1
2019,0
2015,0
2016,0
2018,0
415,1
418,0
416,0
417,0
419,0
1273,0
1274,0
1272,0
1270,0
1271,0
933,1
932,0
934,0
930,0
931,0
1111,1
1114,0
1112,0
1110,0
1113,0
351,1
352,1
353,0
350,0
354,0
1837,1
1839,1
1838,0
1836,0
1835,0
111,1
114,1
113,1
112,0
110,0
1571,0
1573,0
1574,0
1572,0
1570,0
2002,1
2003,1
2004,1
2001,0
2000,0
37,1
39,1
38,0
35,0
36,0
228,1
229,0
226,0
227,0
225,0
1506,0
1509,0
1508,0
1507,0
1505,0
1374,0
1372,0
1373,0
1371,0
1370,0
968,1
967,1
966,0
969,0
965,0
295,1
299,1
296,1
298,0
297,0
