item,truth
110,0
161,1
328,1
611,2
975,2
1052,0
1065,1
1119,2
1141,2
1506,3
1528,2
1561,3
1674,3
1713,1
2412,3
2423,1
2613,3
2743,1
2780,0
2801,0
2843,3
3006,2
3107,1
3109,3
3377,3
3396,2
3532,3
3574,3
3590,0
3922,0
3998,2
4341,3
4343,2
4628,2
4672,1
4793,1
4848,4
4902,2
4903,1
4950,3
4968,2
4981,3
5221,2
5364,3
5424,1
5685,1
5796,3
5807,0
5895,3
6015,2
6021,3
6465,2
6698,0
6928,2
7032,2
7040,3
7180,0
7305,2
7612,2
7836,0
7887,3
7932,0
8015,0
8093,3
8281,2
8367,2
8427,1
8555,1
8698,1
8717,3
8735,3
8767,0
8792,2
9121,1
9165,3
9201,1
9328,4
9679,0
9699,1
9733,4
9808,0
9935,3
9971,3
10020,3
10107,2
10251,3
10291,1
10541,3
10957,3
11045,1
11197,2
11271,2
11698,3
11775,3
11853,3
12091,3
12220,2
12293,3
12448,1
12626,3
12642,1
12656,1
12725,0
12792,2
13052,2
13104,1
13209,1
13232,2
13372,3
13441,0
13661,1
13733,2
13750,2
13899,0
14026,2
14084,0
14224,0
14271,2
14293,2
14367,1
14370,3
14509,2
14618,3
14793,2
14836,3
14837,1
14842,3
14907,3
14979,4
15157,3
15450,3
15503,2
15671,2
15710,3
15725,3
15727,1
15728,3
15793,3
15897,3
15934,1
16035,2
16244,1
16265,1
16303,3
16331,1
16362,2
16535,0
16569,2
16608,0
16609,3
16621,3
16665,3
16680,0
16693,2
16711,3
16732,0
16814,1
16828,1
16852,2
16941,0
17155,2
17289,1
17405,3
17429,0
17505,2
17628,3
17629,0
17800,2
17918,0
17956,3
18003,0
18041,3
18091,2
18163,1
18225,3
18333,0
18588,3
18633,0
18708,0
18743,3
18791,3
18829,1
18841,3
18849,2
18920,0
18996,3
19067,2
19101,3
19346,3
19391,3
19673,3
19731,1
19759,4
19807,2
20438,0
20473,2
20596,1
20597,0
20608,1
20631,1
20679,1
20694,2
20763,3
20792,2
20820,1
20903,1
20920,3
21079,0
21148,0
21204,1
21206,3
21223,1
21271,1
21275,2
21284,0
21480,0
21592,2
21647,2
21785,1
21839,2
21966,2
22011,2
22292,4
22506,1
22563,1
23431,3
23533,2
23634,2
23861,3
24114,2
24139,1
24213,1
24253,1
24307,2
24361,3
24391,1
24394,3
24448,3
24715,4
25000,3
25375,2
25377,2
25533,1
25939,3
25946,0
26033,2
26051,3
26152,3
26305,3
26496,0
26653,0
27054,3
27099,1
27370,3
27418,1
27463,1
27508,3
27592,1
27619,4
27705,2
27780,3
27939,0
28036,0
28097,1
28163,2
28264,1
28297,3
28303,0
28313,0
28372,0
28414,3
28455,0
28475,2
28604,4
28610,1
28631,0
28809,0
28862,1
28883,0
28901,3
29005,3
29022,2
29156,1
29219,1
29394,0
29494,1
29552,0
29562,0
29632,0
29940,3
30000,2
30167,0
30281,0
30290,1
30526,3
30764,3
30787,1
30839,1
30840,3
30951,2
30964,3
31099,3
31121,3
31171,0
31175,2
31209,4
31289,3
31423,0
31785,2
31846,0
31869,0
31937,2
32059,0
32139,3
32218,2
32270,2
32380,0
32390,1
32529,3
32632,1
32644,0
32967,2
33051,0
33094,2
33123,1
33137,0
33146,1
33247,2
33316,0
33490,3
