item,worker,label
0,0,0
0,3,1
0,4,1
0,1,1
0,2,1
1,1,1
1,2,1
1,0,0
1,3,1
1,4,1
2,1,0
2,0,0
2,2,1
2,4,1
2,3,1
3,0,0
3,1,0
3,2,1
3,3,1
3,4,1
4,2,0
4,0,1
5,0,1
5,7,1
6,7,1
6,6,0
6,5,1
6,0,1
6,2,1
7,2,0
7,7,1
7,0,0
7,5,0
7,6,0
8,7,1
8,6,0
8,5,1
8,2,1
8,0,1
9,5,1
9,6,0
9,0,1
9,2,1
9,7,1
10,2,1
10,8,0
10,5,1
10,1,0
10,0,1
11,5,0
11,1,0
11,2,0
11,8,0
11,0,0
12,1,0
12,8,0
12,0,1
12,2,0
12,5,0
13,8,0
13,5,0
13,0,0
13,2,0
13,1,0
14,2,1
14,5,1
14,1,1
14,8,0
14,0,0
15,2,1
15,0,1
15,10,1
15,9,0
15,5,1
16,10,0
16,2,1
16,5,1
16,9,0
16,0,1
17,2,0
17,5,0
17,0,0
17,10,0
17,9,0
18,0,1
18,5,0
18,10,1
18,2,0
18,9,1
19,5,0
19,0,1
19,10,0
19,9,0
19,2,0
20,11,0
20,7,1
20,0,0
20,5,0
20,2,0
21,5,1
21,7,1
21,2,0
21,0,0
21,11,0
22,0,0
22,2,1
22,5,1
22,11,1
22,7,1
23,2,1
23,11,1
23,5,1
23,7,1
23,0,0
24,0,0
24,5,0
24,2,0
24,12,0
25,5,1
25,12,0
25,0,1
25,2,1
26,2,1
26,5,0
26,3,0
26,0,1
26,12,1
27,5,1
27,0,1
27,2,1
27,12,0
28,5,1
28,0,1
28,2,1
28,12,0
29,9,0
29,7,1
29,2,1
29,0,0
29,1,1
30,1,1
30,7,1
30,2,0
30,0,1
30,9,1
31,0,1
31,9,0
31,7,1
32,1,0
32,9,0
32,2,1
32,7,1
32,0,1
33,0,1
33,9,1
33,7,1
34,5,1
34,2,1
34,0,1
34,3,1
34,11,1
35,0,0
35,11,1
35,3,1
35,5,1
35,2,1
36,5,1
36,3,1
36,2,1
36,0,0
36,11,1
37,2,1
37,0,1
37,3,1
37,11,1
37,5,1
38,0,1
39,10,0
39,7,1
39,2,1
39,13,0
39,0,1
40,7,1
40,0,1
40,2,1
40,13,1
40,10,1
41,2,1
41,7,1
41,0,0
41,10,0
41,13,0
42,7,1
42,2,1
42,13,0
42,10,0
42,0,0
43,2,1
43,0,0
43,10,0
43,7,1
43,13,0
44,2,0
44,5,1
44,3,1
44,0,0
44,6,0
45,0,0
45,2,0
45,3,1
45,6,0
45,5,0
46,2,0
46,6,0
46,3,1
46,5,1
46,0,0
47,6,0
47,3,1
47,0,0
47,2,1
47,5,1
48,1,0
48,3,1
48,14,0
48,2,1
48,9,0
49,3,1
49,2,0
49,9,1
49,1,1
49,14,0
50,9,0
50,14,0
50,2,1
50,1,0
50,3,1
51,2,1
51,1,0
51,3,1
51,14,0
51,9,0
52,14,0
52,2,1
52,9,0
52,1,0
53,2,0
53,1,0
53,5,0
53,15,1
53,0,1
54,2,0
54,0,1
54,15,1
54,5,0
54,1,1
55,2,1
55,5,1
55,15,1
55,1,1
55,0,1
56,1,0
56,5,1
56,0,1
56,2,0
56,15,1
57,5,0
57,2,0
57,0,1
57,1,0
57,15,0
58,2,0
58,0,1
58,6,0
58,1,0
58,5,0
59,0,1
59,6,0
59,1,0
59,5,0
59,2,0
60,5,1
60,2,0
60,6,1
60,1,0
60,0,1
61,2,0
61,1,0
61,5,0
61,0,1
61,6,0
62,2,0
62,0,1
62,5,0
62,6,0
62,1,0
63,3,1
63,2,0
63,0,0
63,5,0
63,12,0
64,5,0
64,0,1
64,3,1
64,12,1
64,2,1
65,3,1
65,5,0
65,2,0
65,0,0
65,12,0
66,2,0
66,0,0
66,3,1
66,12,0
66,5,0
67,5,0
67,0,0
67,2,0
67,12,0
67,3,1
68,17,0
68,13,0
68,2,1
68,5,1
68,16,0
69,17,0
69,5,1
69,2,1
69,16,0
69,13,0
70,5,1
70,17,0
70,13,0
70,16,0
70,2,1
71,5,1
71,17,0
71,16,0
71,13,0
71,2,1
72,1,0
72,0,0
72,13,0
72,2,1
72,11,0
73,13,0
73,2,0
73,11,0
73,0,0
73,1,0
74,0,1
74,11,0
74,13,0
74,1,1
74,2,0
75,1,1
75,13,1
75,11,1
75,2,1
75,0,1
76,2,0
76,1,0
76,0,0
76,13,0
76,11,0
77,5,0
77,2,0
77,19,1
77,6,0
77,18,1
78,19,1
78,6,1
78,18,1
78,2,1
78,5,1
79,18,1
79,6,0
80,6,0
80,2,0
80,5,0
80,18,1
80,19,0
81,6,0
81,5,0
81,2,0
81,19,1
81,18,1
82,2,1
82,21,1
82,20,1
82,5,0
82,0,0
83,20,1
83,5,0
83,0,1
83,21,0
83,2,0
84,0,0
84,20,1
84,5,0
84,2,0
85,5,0
85,21,1
85,2,0
85,0,0
85,20,1
86,5,0
86,2,1
86,21,1
86,20,1
86,0,0
87,0,0
87,23,1
87,2,1
87,22,0
87,24,0
88,23,1
88,2,1
88,22,0
88,0,0
88,24,0
89,2,1
89,0,1
89,23,1
89,24,0
89,22,0
90,2,1
90,24,0
90,23,1
90,22,0
90,0,0
91,24,0
91,22,0
91,0,0
91,2,1
91,23,1
92,0,1
92,26,1
92,2,1
92,25,1
92,5,1
93,5,1
93,0,1
93,2,1
93,25,1
93,26,1
94,25,1
94,5,1
94,0,1
94,26,1
94,2,1
95,25,0
95,26,0
95,0,0
95,2,0
95,5,1
96,5,1
96,6,1
96,3,1
96,0,1
96,2,1
97,0,1
98,2,0
98,0,1
98,3,1
98,5,0
98,6,1
99,30,1
99,9,0
99,29,0
99,28,1
99,27,1
100,28,1
100,27,1
100,29,0
100,9,0
100,30,0
101,31,0
101,27,1
101,28,1
101,9,0
101,29,0
101,30,1
102,9,1
102,31,0
102,27,0
102,29,0
102,28,1
102,30,0
103,30,1
103,29,0
103,28,1
103,9,0
103,27,0
104,34,0
104,32,0
104,29,0
104,28,1
104,33,1
104,27,1
105,28,1
105,27,0
105,29,0
105,33,1
105,32,0
105,34,0
106,34,1
106,28,1
106,27,0
106,29,0
106,32,0
107,33,1
107,34,1
107,29,0
107,32,0
107,28,1
107,27,1
108,29,0
108,28,1
108,33,1
108,27,0
108,32,0
108,34,0
109,38,1
109,37,1
109,35,1
109,36,0
109,29,0
110,29,0
110,38,0
110,36,0
110,37,1
110,35,1
111,35,1
111,38,1
111,29,0
111,37,1
111,36,1
112,38,0
112,36,0
112,29,0
112,37,1
112,35,0
113,38,1
113,29,0
113,36,1
113,35,1
113,37,1
114,39,1
114,17,0
114,41,1
114,40,1
114,29,0
114,30,1
114,28,1
115,17,1
115,41,1
115,28,1
115,40,1
115,39,1
115,29,0
115,30,0
116,30,1
116,17,0
116,39,1
116,29,0
116,28,1
116,41,1
116,40,1
117,30,1
117,41,1
117,29,0
117,17,0
