item,truth
268,0
91,2
276,0
112,2
49,2
193,2
54,2
92,3
162,3
50,3
55,3
255,1
137,3
204,1
119,1
19,0
257,1
120,3
163,0
86,1
108,3
63,3
147,2
167,2
214,0
237,3
280,3
278,0
100,1
127,3
206,3
80,0
96,2
113,0
94,3
297,1
200,1
58,2
299,2
253,3
211,1
95,3
293,1
181,1
270,3
246,3
130,3
76,4
201,2
225,3
229,2
31,3
182,3
32,2
138,3
156,1
183,2
164,2
109,0
223,1
14,3
186,2
264,2
221,2
15,1
254,1
128,4
24,3
81,3
4,2
68,1
271,0
28,0
174,3
178,0
131,2
165,3
190,3
290,2
33,2
25,2
98,1
56,0
69,3
194,0
177,0
207,0
272,2
146,0
294,3
292,0
140,2
212,1
121,2
70,3
187,3
208,0
52,0
135,1
248,3
45,1
281,2
157,1
88,3
29,0
247,3
34,1
216,2
9,3
114,2
180,3
71,0
273,4
230,1
218,1
261,0
286,0
5,0
10,2
195,2
277,1
242,1
287,0
168,0
82,3
72,2
6,1
42,2
262,0
209,1
148,0
149,3
289,3
236,3
101,1
104,2
150,3
21,2
283,1
11,3
205,1
115,0
169,3
0,0
30,2
3,2
160,2
238,4
251,3
83,3
89,1
57,2
122,3
231,1
87,3
171,3
227,2
213,2
7,2
151,3
263,1
274,1
46,3
59,0
105,1
26,3
47,0
152,0
279,3
129,3
234,3
179,3
1,1
8,2
202,3
65,2
298,3
252,1
153,2
170,0
16,3
232,1
258,4
282,1
110,1
99,3
219,2
154,3
284,0
203,2
27,3
60,3
116,0
133,3
217,2
256,3
132,2
155,0
233,2
84,2
22,1
35,1
23,3
173,1
134,3
12,3
36,4
136,3
64,2
43,3
220,2
66,1
184,0
141,1
260,3
250,0
118,2
161,1
61,0
226,2
48,3
73,1
215,0
188,3
142,1
295,3
210,3
106,1
125,1
222,4
111,2
53,2
13,1
139,1
107,2
269,0
166,0
239,3
37,2
38,1
175,0
240,2
285,1
241,2
102,0
288,0
259,2
244,0
44,1
90,2
196,1
143,3
197,0
191,1
74,3
245,2
228,3
117,2
77,0
224,1
267,0
291,0
185,3
20,3
51,2
123,2
17,1
265,1
235,1
159,0
189,3
275,0
78,1
198,1
192,4
176,3
144,1
39,3
62,0
75,1
158,2
243,3
2,1
40,2
249,0
266,3
18,0
172,2
296,1
103,2
124,3
79,4
145,2
93,3
41,3
67,1
126,3
85,3
199,1
97,3
