item,worker,label
0,192,0
0,295,0
0,349,0
0,402,0
0,148,0
0,158,0
0,361,3
1,407,4
1,15,3
1,155,1
1,80,1
1,38,0
1,242,4
1,396,4
2,181,1
2,354,1
2,15,1
2,278,1
2,184,3
2,77,1
3,276,2
3,354,2
3,15,3
3,359,2
3,352,2
3,392,2
3,300,2
4,37,0
4,181,1
4,392,2
4,38,2
4,329,1
5,41,0
5,424,0
5,363,0
5,213,0
5,201,0
6,330,1
6,351,1
6,78,1
6,346,1
6,422,1
7,74,2
7,433,2
7,417,4
7,4,2
7,345,3
8,167,2
8,392,3
8,255,2
8,281,2
8,15,3
8,51,1
9,424,3
9,214,3
9,278,3
9,346,3
9,101,3
10,317,2
10,274,2
10,214,2
10,69,2
10,28,2
11,107,3
11,214,3
11,93,3
11,451,2
11,10,3
11,135,3
12,295,3
12,93,3
12,3,3
12,278,1
12,440,3
13,317,1
13,0,1
13,345,3
13,211,1
13,112,2
14,330,3
14,181,3
14,368,3
14,208,3
14,324,3
15,433,0
15,349,1
15,259,3
15,345,2
15,281,1
16,250,3
16,89,3
16,132,3
16,164,3
16,167,3
16,379,3
16,78,3
16,374,3
17,93,2
17,15,1
17,454,1
17,38,1
17,112,1
18,185,1
18,184,3
18,113,0
18,38,1
18,329,2
18,440,1
19,41,0
19,430,0
19,402,0
19,345,0
19,13,0
20,295,3
20,259,3
20,317,3
20,254,3
20,62,3
20,278,3
21,422,2
21,1,2
21,352,2
21,295,2
21,329,2
22,107,1
22,214,1
22,352,1
22,374,1
22,222,1
23,181,1
23,357,3
23,93,3
23,21,3
23,48,3
23,318,1
24,236,3
24,20,3
24,129,3
24,93,3
24,318,2
24,287,2
24,229,2
25,259,2
25,433,2
25,211,2
25,329,2
25,422,2
26,274,1
26,407,3
26,78,3
26,121,3
26,214,3
27,392,3
27,304,3
27,433,3
27,43,3
27,272,3
27,113,3
27,112,3
28,304,0
28,214,0
28,101,0
28,422,0
28,78,1
29,231,0
29,184,0
29,3,0
29,48,0
29,201,1
29,186,0
30,404,4
30,118,2
30,214,2
30,15,2
30,74,2
30,318,2
31,330,1
31,424,3
31,183,3
31,134,3
31,211,3
32,181,2
32,107,2
32,352,2
32,330,2
32,87,2
32,376,3
33,264,2
33,206,2
33,19,2
33,382,3
33,345,3
34,414,1
34,170,1
34,134,1
34,352,1
34,329,1
35,114,1
35,146,2
35,293,4
35,279,0
35,38,0
35,382,1
35,240,1
35,422,0
36,41,1
36,389,1
36,192,4
36,419,1
36,134,2
36,278,1
37,238,3
37,104,1
37,21,1
37,109,2
37,363,2
37,361,2
38,164,1
38,352,1
38,402,0
38,255,1
38,214,1
39,232,3
39,121,3
39,29,3
39,317,3
39,382,3
39,255,3
40,186,2
40,104,2
40,204,2
40,402,2
40,295,2
41,407,3
41,368,3
41,0,3
41,317,3
41,84,1
42,274,2
42,330,1
42,272,2
42,4,2
42,69,1
43,274,3
43,317,3
43,214,3
43,278,3
43,435,3
44,184,3
44,454,4
44,0,4
44,240,1
44,112,1
45,173,2
45,278,1
45,211,2
45,115,1
45,329,1
46,202,3
46,361,3
46,284,3
46,281,3
46,333,3
47,43,4
47,430,0
47,0,0
47,38,1
47,387,0
47,51,0
48,317,3
48,134,3
48,450,3
48,433,3
48,158,4
48,278,1
49,104,2
49,317,2
49,337,1
49,435,2
49,422,2
50,317,3
50,104,3
50,352,3
50,350,3
50,435,3
50,278,3
51,204,2
51,295,2
51,323,2
51,402,2
51,97,2
52,308,0
52,334,0
52,214,0
52,287,2
52,106,4
52,28,0
53,357,3
53,353,4
53,272,4
53,402,3
53,21,3
53,69,2
53,122,2
53,214,2
54,41,3
54,15,3
54,352,2
54,214,3
54,451,2
54,412,1
55,317,3
55,104,3
55,146,3
55,184,3
55,214,3
56,264,0
56,308,0
56,29,0
56,78,0
56,101,0
57,38,2
57,317,2
57,185,2
57,422,2
57,77,2
58,310,2
58,169,2
58,227,2
58,278,2
58,109,2
58,211,3
58,272,2
58,14,2
58,101,2
58,78,2
59,278,1
59,4,3
59,0,0
59,201,3
59,164,0
60,317,3
60,226,3
60,13,3
60,181,3
60,84,3
61,21,1
61,259,3
61,184,3
61,287,2
61,229,0
61,436,0
61,51,1
62,15,0
62,454,0
62,202,0
62,272,0
62,300,0
63,278,1
63,424,3
63,397,4
63,167,3
63,121,3
63,433,3
64,181,2
64,211,2
64,424,2
64,407,2
64,278,2
65,134,2
65,392,2
65,21,3
65,433,3
65,337,2
66,107,1
66,173,1
66,62,1
66,141,1
66,329,1
67,273,1
67,323,1
67,3,1
67,417,1
67,79,4
68,107,2
68,392,4
68,337,3
68,26,3
68,134,2
69,294,3
69,209,3
69,93,3
69,104,3
69,278,3
70,104,3
70,392,3
70,123,3
70,184,3
70,334,3
70,133,3
71,167,0
71,0,0
71,41,0
71,278,0
71,317,0
72,259,2
72,433,2
72,184,2
72,395,2
72,208,2
72,413,2
73,182,3
73,200,4
73,358,1
73,15,3
73,352,1
74,214,3
74,241,4
74,15,3
74,2,4
74,203,3
75,336,1
75,365,1
75,265,1
75,270,1
75,222,1
75,285,1
76,10,3
76,133,0
76,237,3
76,459,4
76,393,4
77,292,0
77,456,0
77,47,0
77,423,0
77,429,0
77,209,0
78,373,1
