item,worker,label
1851,58,1
1853,58,1
1854,58,1
1852,58,0
1850,58,0
1851,42,1
1853,42,1
1854,42,1
1852,42,0
1850,42,0
1851,23,1
1853,23,0
1854,23,0
1852,23,1
1850,23,0
1851,28,1
1853,28,1
1854,28,1
1852,28,0
1850,28,0
1851,18,0
1853,18,0
1854,18,0
1852,18,1
1850,18,0
361,6,1
363,6,0
362,6,1
364,6,0
360,6,0
361,58,1
363,58,1
362,58,0
364,58,0
360,58,0
361,7,1
363,7,1
362,7,0
364,7,0
360,7,0
361,23,1
363,23,0
362,23,0
364,23,1
360,23,0
361,18,1
363,18,1
362,18,0
364,18,0
360,18,0
527,7,0
528,7,0
529,7,0
525,7,0
526,7,0
527,23,0
528,23,1
529,23,0
525,23,0
526,23,0
527,28,0
528,28,0
529,28,1
525,28,0
526,28,0
527,18,1
528,18,0
529,18,0
525,18,0
526,18,0
527,58,1
528,58,0
529,58,0
525,58,0
526,58,0
599,7,0
596,7,0
597,7,0
598,7,0
595,7,0
599,59,1
596,59,0
597,59,0
598,59,0
595,59,0
599,23,1
596,23,1
597,23,0
598,23,0
595,23,0
599,18,1
596,18,0
597,18,1
598,18,0
595,18,0
599,58,1
596,58,0
597,58,1
598,58,0
595,58,0
216,33,1
218,33,0
219,33,1
217,33,0
215,33,0
216,58,1
218,58,1
219,58,0
217,58,0
215,58,0
216,59,0
218,59,1
219,59,0
217,59,0
215,59,0
216,28,1
218,28,1
219,28,0
217,28,0
215,28,0
216,23,0
218,23,0
219,23,1
217,23,1
215,23,0
662,18,0
663,18,1
661,18,0
664,18,0
660,18,0
662,59,0
663,59,0
661,59,1
664,59,0
660,59,0
662,58,1
663,58,1
661,58,0
664,58,0
660,58,0
948,58,1
947,58,1
945,58,1
946,58,0
949,58,0
948,18,0
947,18,0
945,18,0
946,18,1
949,18,1
948,26,0
947,26,0
945,26,1
946,26,0
949,26,1
948,7,0
947,7,0
945,7,0
946,7,0
949,7,0
948,28,1
947,28,1
945,28,1
946,28,0
949,28,0
1414,29,0
1410,29,0
1411,29,0
1412,29,0
1413,29,0
1414,58,1
1410,58,0
1411,58,0
1412,58,0
1413,58,0
1414,33,1
1410,33,0
1411,33,0
1412,33,0
1413,33,0
1414,28,1
1410,28,0
1411,28,0
1412,28,0
1413,28,0
1414,6,0
1410,6,0
1411,6,0
1412,6,0
1413,6,0
76,58,1
78,58,1
77,58,0
79,58,0
75,58,0
76,28,0
78,28,0
77,28,1
79,28,1
75,28,0
76,33,0
78,33,0
77,33,1
79,33,1
75,33,0
76,18,0
78,18,0
77,18,1
79,18,1
75,18,0
76,59,0
78,59,1
77,59,0
79,59,0
75,59,0
1279,28,1
1278,28,1
1276,28,1
1277,28,0
1275,28,0
1279,33,1
1278,33,0
1276,33,1
1277,33,1
1275,33,0
1279,59,0
1278,59,0
1276,59,1
1277,59,0
1275,59,0
1279,42,1
1278,42,0
1276,42,1
1277,42,1
1275,42,0
1279,44,1
1278,44,0
1276,44,1
1277,44,1
1275,44,0
584,29,1
582,29,1
583,29,0
580,29,0
581,29,0
584,28,1
582,28,1
583,28,0
580,28,0
581,28,0
584,58,0
582,58,0
583,58,0
580,58,0
581,58,0
584,23,1
582,23,0
583,23,1
580,23,0
581,23,0
584,59,0
582,59,0
583,59,0
580,59,0
581,59,0
784,15,1
782,15,1
781,15,1
780,15,0
783,15,0
784,58,1
782,58,1
781,58,1
780,58,0
783,58,0
784,18,0
782,18,1
781,18,1
780,18,0
783,18,0
784,23,1
782,23,0
781,23,1
780,23,0
783,23,0
784,44,1
782,44,0
781,44,0
780,44,1
783,44,1
1013,58,1
1014,58,0
1011,58,0
1012,58,0
1010,58,0
1013,33,0
1014,33,1
1011,33,1
1012,33,0
1010,33,0
1013,15,0
1014,15,1
1011,15,1
1012,15,0
1010,15,0
1013,23,0
1014,23,1
1011,23,1
1012,23,0
1010,23,0
1013,18,0
1014,18,1
1011,18,0
1012,18,0
1010,18,0
1193,29,1
1194,29,1
1191,29,0
1192,29,0
1190,29,0
1193,8,0
1194,8,1
1191,8,1
1192,8,0
1190,8,0
1193,33,0
1194,33,1
1191,33,1
1192,33,1
1190,33,0
1193,15,1
