item,truth
0,0
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,0
10,1
11,0
12,0
13,0
14,1
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,1
41,0
42,1
43,1
44,0
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,1
62,1
63,0
64,1
65,0
66,0
67,1
68,1
69,0
70,1
71,1
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,1
114,1
115,0
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,0
124,0
125,0
126,1
127,1
128,0
129,1
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,1
148,1
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,1
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,0
228,1
229,0
230,1
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,1
243,1
244,1
245,0
246,0
247,1
248,1
249,1
250,0
251,1
252,1
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,1
265,0
266,0
267,0
268,0
269,1
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,0
281,1
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,0
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,0
335,0
336,0
337,0
338,1
339,0
340,1
341,1
342,0
343,1
344,1
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,1
355,1
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,1
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,0
387,0
388,1
389,1
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,1
399,1
400,1
401,1
402,1
403,0
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,1
412,1
413,0
414,1
415,0
416,1
417,0
418,1
419,0
420,1
421,1
422,1
423,0
424,0
425,0
426,1
427,1
428,1
429,0
430,0
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,0
461,1
462,1
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,1
474,1
475,1
476,0
477,0
478,0
479,1
480,1
481,0
482,1
483,0
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,1
510,0
511,1
512,1
513,1
514,0
515,0
516,0
517,1
518,1
519,0
520,0
521,1
522,0
523,0
524,0
525,0
526,1
527,1
528,1
529,1
530,1
531,1
532,1
