item,truth
191,0
241,2
387,1
186,0
203,0
385,1
252,2
624,4
662,5
572,4
681,5
543,3
588,4
55,6
30,6
493,8
377,1
90,7
569,4
265,2
199,0
638,5
698,5
39,6
644,5
603,4
205,0
578,4
557,3
622,4
665,5
587,4
231,2
163,0
356,1
153,0
393,1
651,5
297,9
411,1
333,9
373,1
403,1
345,9
304,9
310,9
609,4
331,9
120,7
45,6
684,5
494,3
413,1
192,0
0,6
257,2
448,8
275,2
346,9
270,2
447,8
33,6
29,6
612,4
261,2
437,8
649,5
96,7
605,4
234,2
462,8
457,8
109,7
478,8
83,7
562,4
636,5
6,6
313,9
59,6
291,9
383,1
115,7
258,2
499,3
645,5
148,0
162,0
16,6
123,7
683,5
366,1
161,0
390,1
23,6
488,8
535,3
204,0
71,7
3,6
663,5
354,1
217,2
379,1
277,2
243,2
558,4
326,9
150,0
501,3
519,3
279,2
441,8
553,3
179,0
8,6
396,1
145,0
564,4
369,1
26,6
295,9
171,0
263,2
269,2
429,8
601,4
594,4
245,2
1,6
500,3
615,4
670,5
386,1
401,1
472,8
476,8
142,0
547,3
202,0
360,1
604,4
495,3
676,5
101,7
537,3
697,5
135,7
415,1
282,2
189,0
628,5
550,3
627,4
9,6
666,5
647,5
152,0
436,8
302,9
235,2
392,1
454,8
321,9
646,5
520,3
34,6
284,2
475,8
193,0
695,5
151,0
166,0
642,5
435,8
474,8
25,6
121,7
620,4
406,1
211,0
451,8
657,5
577,4
376,1
77,7
214,2
570,4
452,8
412,1
112,7
97,7
208,0
514,3
656,5
173,0
35,6
273,2
169,0
639,5
317,9
659,5
276,2
375,1
48,6
69,7
318,9
426,8
352,1
481,8
362,1
122,7
200,0
556,3
124,7
650,5
197,0
530,3
306,9
416,1
128,7
469,8
619,4
93,7
4,6
73,7
525,3
625,4
355,1
31,6
228,2
129,7
60,6
680,5
419,8
563,4
674,5
583,4
194,0
679,5
541,3
408,1
536,3
503,3
81,7
138,7
11,6
458,8
248,2
648,5
682,5
286,9
177,0
80,7
110,7
590,4
692,5
323,9
65,6
428,8
565,4
502,3
268,2
63,6
134,7
521,3
329,9
438,8
607,4
686,5
542,3
125,7
367,1
667,5
325,9
167,0
225,2
174,0
350,1
596,4
561,4
585,4
92,7
53,6
409,1
299,9
575,4
402,1
539,3
79,7
322,9
678,5
278,2
477,8
600,4
614,4
568,4
195,0
185,0
19,6
288,9
180,0
516,3
669,5
545,3
443,8
616,4
290,9
450,8
364,1
611,4
70,7
526,3
58,6
187,0
573,4
552,3
75,7
175,0
309,9
339,9
511,3
158,0
184,0
579,4
567,4
266,2
492,8
380,1
580,4
421,8
272,2
232,2
21,6
626,4
42,6
61,6
336,9
156,0
281,2
113,7
249,2
395,1
440,8
643,5
515,3
508,3
420,8
690,5
229,2
147,0
456,8
149,0
260,2
672,5
212,0
47,6
259,2
533,3
176,0
430,8
233,2
491,8
285,9
85,7
230,2
505,3
216,2
327,9
673,5
399,1
210,0
466,8
68,7
696,5
168,0
209,0
119,7
374,1
613,4
66,6
691,5
296,9
592,4
484,8
398,1
264,2
283,2
344,9
397,1
507,3
159,0
400,1
315,9
196,0
332,9
87,7
348,1
206,0
506,3
687,5
104,7
37,6
72,7
301,9
136,7
262,2
160,0
137,7
57,6
44,6
523,3
640,5
528,3
631,5
574,4
64,6
324,9
433,8
100,7
599,4
274,2
106,7
154,0
215,2
432,8
504,3
544,3
165,0
610,4
405,1
67,7
363,1
328,9
660,5
581,4
688,5
483,8
201,0
54,6
482,8
222,2
130,7
589,4
655,5
353,1
470,8
219,2
139,0
404,1
95,7
391,1
247,2
444,8
591,4
146,0
107,7
89,7
51,6
18,6
652,5
513,3
10,6
22,6
597,4
116,7
459,8
226,2
213,2
497,3
303,9
172,0
632,5
384,1
560,4
371,1
351,1
485,8
487,8
62,6
431,8
534,3
595,4
661,5
12,6
198,0
555,3
359,1
337,9
378,1
218,2
509,3
91,7
319,9
341,9
190,0
621,4
182,0
606,4
479,8
221,2
517,3
357,1
442,8
41,6
246,2
305,9
330,9
223,2
86,7
56,6
689,5
178,0
417,1
449,8
608,4
126,7
548,3
554,3
464,8
292,9
388,1
300,9
446,8
17,6
20,6
540,3
131,7
320,9
183,0
24,6
414,1
531,3
489,8
510,3
108,7
111,7
340,9
418,1
114,7
316,9
49,6
347,9
132,7
43,6
52,6
633,5
14,6
664,5
654,5
181,0
74,7
617,4
224,2
98,7
358,1
571,4
308,9
32,6
314,9
586,4
103,7
460,8
157,0
427,8
293,9
422,8
343,9
425,8
255,2
455,8
546,3
445,8
335,9
99,7
361,1
668,5
423,8
699,5
381,1
294,9
2,6
461,8
382,1
463,8
244,2
370,1
256,2
40,6
238,2
236,2
50,6
280,2
141,0
486,8
653,5
170,0
82,7
518,3
36,6
164,0
144,0
576,4
27,6
671,5
598,4
118,7
496,3
584,4
15,6
287,9
658,5
693,5
630,5
365,1
453,8
298,9
289,9
410,1
5,6
524,3
94,7
311,9
566,4
242,2
143,0
250,2
465,8
551,3
117,7
498,3
251,2
512,3
629,5
84,7
307,9
220,2
623,4
140,0
694,5
407,1
434,8
394,1
490,8
593,4
532,3
267,2
675,5
237,2
102,7
188,0
602,4
637,5
338,9
127,7
473,8
240,2
239,2
133,7
522,3
271,2
368,1
549,3
207,0
342,9
467,8
641,5
88,7
105,7
685,5
13,6
227,2
78,7
471,8
634,5
559,4
424,8
28,6
582,4
538,3
389,1
38,6
468,8
253,2
372,1
527,3
635,5
254,2
7,6
677,5
439,8
76,7
155,0
618,4
46,6
349,1
334,9
529,3
480,8
312,9
