item,truth
4,1
5,1
12,1
26,1
32,1
38,1
40,1
49,1
55,1
60,1
64,1
78,1
83,1
89,1
102,1
111,1
115,1
121,1
125,1
146,1
155,0
163,1
176,1
179,1
182,1
189,1
220,1
228,1
232,1
235,1
237,1
257,1
267,1
273,1
285,0
288,1
296,0
303,1
309,0
315,1
322,1
328,1
333,1
335,1
341,1
348,1
350,1
352,1
366,0
371,1
373,1
381,0
394,1
400,1
405,0
408,1
419,1
424,1
425,0
431,0
436,0
451,1
457,1
461,1
469,1
473,1
479,1
487,1
494,1
499,1
502,0
507,0
512,1
519,1
527,1
533,1
543,0
549,0
558,1
560,1
565,1
570,1
579,1
583,1
588,1
590,0
595,1
600,1
608,1
614,1
621,1
624,0
637,1
658,0
673,1
680,1
683,0
689,1
696,1
697,1
707,1
713,1
724,1
727,1
732,1
741,1
746,1
758,1
766,1
779,1
788,1
790,1
795,1
804,1
812,1
813,1
828,1
841,1
876,1
883,1
889,1
893,1
900,1
904,1
910,1
915,1
924,1
929,1
936,1
950,1
954,1
958,1
962,1
988,1
993,1
1002,1
1007,1
1011,1
1025,1
1028,1
1041,1
1051,1
1060,1
1085,1
1096,1
1101,1
1108,1
1117,1
1124,1
1130,1
1146,1
1152,1
1155,1
1165,1
1167,1
1177,1
1192,1
1197,1
1203,1
1216,1
1221,1
1229,1
1236,1
1247,1
1258,1
1265,1
1272,1
1287,1
1296,1
1304,1
1313,1
1331,1
1333,1
1338,1
1343,1
1358,1
1379,1
1384,1
1389,1
1390,1
1405,1
1416,1
1426,1
1427,1
1432,1
1449,1
1452,1
1460,1
1461,1
1470,1
1476,1
1488,1
1490,0
1497,1
1500,1
1508,1
1521,1
1528,1
1532,0
1548,1
1553,1
1572,1
1573,1
1582,1
1585,1
1592,1
1597,1
1603,1
1619,0
1634,0
1641,1
1656,1
1657,1
1662,0
1681,1
1688,1
1716,1
1733,1
1738,1
1756,1
1761,1
1768,0
1777,1
1797,0
1802,1
1807,1
1809,1
1815,1
1820,0
1824,0
1828,1
1846,1
1855,1
1869,1
1885,1
1889,0
1892,1
1898,1
1912,1
1918,0
1927,1
1932,1
1941,1
1944,1
1953,1
1955,1
1965,1
1977,1
1981,1
1989,1
1996,1
2000,1
2004,1
2013,1
2019,1
2025,1
2030,1
2038,1
2042,1
2070,1
2083,1
2084,1
2094,1
2108,1
2127,1
2134,1
2145,1
2146,1
2168,1
2174,1
2194,1
2202,1
2208,1
2215,1
2222,1
2223,1
2228,1
2241,1
2249,1
2256,1
2263,1
2271,1
2279,1
2296,1
2325,1
2331,1
2336,1
2338,1
2346,1
2350,1
2355,1
2358,1
2364,1
2380,1
2381,0
2386,1
2397,0
2402,0
2408,1
2414,1
2417,1
2426,1
2448,1
2449,0
2455,1
2466,0
2483,1
2490,1
2502,1
2507,0
2513,1
2519,1
2534,1
2538,0
2548,1
2552,1
2557,1
2562,1
2570,1
2584,1
2587,1
2597,1
2605,1
2607,1
