item,worker,label
268,51,0
268,81,0
268,26,0
268,76,1
268,15,0
268,17,0
268,72,0
268,77,0
268,31,0
268,60,0
268,5,0
268,82,2
268,14,0
268,55,0
268,29,0
268,92,1
268,80,2
268,103,0
268,7,1
268,50,2
91,77,3
91,55,3
91,105,3
91,26,2
91,5,3
91,98,3
91,66,3
91,10,3
91,54,2
91,76,3
91,7,2
91,80,2
91,75,2
91,28,3
91,60,3
91,22,2
91,11,2
91,93,2
91,17,4
91,82,2
276,3,1
276,2,0
276,28,0
276,5,0
276,48,0
276,103,0
276,22,1
276,56,4
276,51,0
276,25,1
276,95,4
276,0,0
276,13,0
276,75,0
276,60,0
276,87,0
276,81,0
276,100,0
276,77,4
276,82,2
112,98,2
112,101,2
112,56,2
112,82,2
112,33,2
112,55,2
112,108,2
112,76,2
112,95,2
112,54,2
112,51,2
112,2,2
112,103,2
112,81,2
112,67,2
112,15,2
112,102,2
112,28,2
112,36,2
112,34,2
49,81,2
49,46,2
49,102,2
49,13,2
49,5,2
49,104,2
49,89,2
49,99,2
49,31,2
49,108,2
49,2,2
49,39,2
49,4,2
49,92,2
49,51,2
49,29,2
49,12,2
49,76,1
49,55,2
49,0,2
193,7,2
193,106,2
193,98,2
193,60,2
193,81,2
193,15,2
193,75,2
193,8,2
193,6,2
193,31,2
193,72,2
193,0,2
193,44,2
193,2,2
193,80,2
193,55,2
193,95,2
193,67,2
193,32,2
193,5,2
54,51,3
54,92,2
54,2,3
54,5,4
54,67,3
54,24,4
54,28,3
54,72,3
54,81,2
54,38,2
54,101,2
54,75,3
54,26,2
54,98,3
54,55,3
54,3,2
54,80,2
54,37,2
54,15,3
54,46,3
92,55,3
92,2,3
92,44,3
92,84,3
92,60,3
92,51,3
92,98,3
92,81,3
92,108,3
92,31,3
92,95,3
92,103,3
92,89,3
92,17,3
92,49,3
92,92,1
92,32,3
92,56,3
92,40,3
92,37,3
162,53,3
162,60,3
162,26,3
162,2,3
162,21,1
162,92,1
162,102,3
162,0,3
162,32,0
162,98,3
162,91,3
162,81,1
162,11,1
162,55,3
162,7,1
162,95,3
162,17,3
162,79,3
162,101,1
162,4,4
50,33,3
50,81,1
50,26,3
50,98,1
50,31,1
50,80,2
50,67,3
50,51,1
50,25,1
50,27,1
50,5,3
50,2,3
50,87,3
50,102,3
50,101,1
50,108,3
50,6,3
50,55,1
50,11,1
50,82,2
