item,worker,label
0,149,0
0,167,0
0,213,0
0,265,0
1,143,1
1,764,0
1,672,0
1,710,0
1,364,0
1,341,0
1,213,0
1,153,0
1,153,0
1,450,1
2,710,0
2,757,0
2,641,0
2,442,0
2,552,0
2,341,0
2,213,0
2,189,0
2,153,0
2,585,0
3,585,0
3,759,0
3,641,0
3,641,0
3,592,0
3,552,0
3,639,1
3,475,0
3,439,0
3,213,0
3,58,2
3,184,0
3,182,1
3,180,0
3,153,0
3,153,0
3,543,0
3,140,0
4,738,0
4,712,0
4,641,0
4,442,0
4,552,0
4,327,0
4,292,0
4,213,0
4,1,0
4,609,0
5,738,0
5,786,0
5,671,0
5,244,0
5,583,0
5,449,0
5,350,0
5,326,0
5,213,0
5,639,0
6,213,0
6,280,0
6,585,0
6,639,0
6,741,0
7,538,2
7,474,3
7,817,2
7,390,3
7,250,2
7,219,3
7,109,1
7,31,3
7,10,1
7,449,3
8,153,0
8,213,0
8,764,0
9,153,0
9,213,0
10,786,0
10,710,0
10,383,0
10,265,0
10,764,0
10,160,1
10,153,0
10,50,0
10,213,0
11,153,0
11,153,0
11,213,0
11,213,0
11,585,0
12,738,0
12,671,0
12,639,0
12,609,0
12,556,0
12,415,1
12,479,3
12,442,0
12,213,0
12,552,0
13,786,2
13,585,0
13,213,0
13,153,0
13,160,1
13,153,0
13,213,0
14,86,2
14,153,0
14,153,0
14,213,0
14,213,0
14,265,2
14,585,0
14,786,0
15,213,0
15,639,0
15,764,0
16,764,0
16,213,0
16,383,0
16,48,1
16,153,0
17,153,0
17,213,0
17,213,0
17,383,0
17,641,0
17,764,0
17,786,0
18,213,0
18,153,0
18,153,0
19,153,0
19,213,0
19,213,0
20,585,0
20,786,0
20,694,0
20,341,0
20,247,0
20,213,0
20,157,0
20,153,0
20,34,0
21,213,1
21,160,2
21,764,0
21,153,0
21,153,0
22,153,0
22,295,0
22,764,0
23,764,0
23,153,0
23,213,0
23,639,0
24,213,0
24,153,0
24,153,0
25,153,0
25,213,0
25,262,1
25,364,0
25,475,0
25,580,0
25,586,0
25,712,0
25,764,0
26,153,0
26,764,0
27,756,0
27,786,0
27,671,0
27,475,0
27,285,0
27,213,0
27,102,0
27,335,0
28,153,0
28,213,0
29,153,0
29,764,0
30,153,0
30,153,0
31,153,0
31,213,0
31,764,0
32,585,0
32,710,0
32,383,0
32,786,0
32,768,0
32,447,0
32,213,0
32,309,0
32,213,0
32,153,0
32,419,0
33,213,0
34,786,0
34,58,0
34,86,0
34,153,0
34,213,0
34,364,0
35,419,0
35,262,1
35,690,0
35,641,0
35,213,0
35,420,0
35,153,0
35,50,0
35,86,0
35,197,0
35,153,0
36,153,0
36,213,0
36,655,1
36,710,0
37,153,0
37,153,0
37,213,0
37,764,0
38,764,0
38,265,0
38,593,0
38,153,0
38,153,0
38,213,0
39,764,0
39,507,0
39,265,0
39,717,0
39,213,0
39,153,0
39,213,0
39,153,0
40,817,0
40,449,0
40,786,0
40,726,0
40,641,0
40,592,0
40,585,0
40,538,2
40,474,0
40,390,0
40,300,2
40,343,0
40,31,0
40,86,0
40,109,0
40,10,0
40,213,0
40,219,0
40,250,0
40,153,0
41,153,0
41,167,0
41,213,0
42,764,0
42,153,0
42,213,0
43,250,0
43,585,0
43,153,0
43,213,0
44,797,0
44,756,0
44,693,0
44,540,0
44,786,0
44,292,0
44,213,0
44,180,0
44,50,0
44,489,0
45,823,0
45,213,0
45,373,0
45,411,0
45,511,0
45,552,0
45,671,0
45,797,0
45,87,0
45,19,0
46,153,0
47,786,2
47,390,3
47,641,2
47,732,3
47,195,3
47,153,0
47,96,3
47,341,3
47,50,2
47,307,3
48,724,0
48,160,1
48,153,0
48,153,0
49,786,0
49,213,0
49,153,0
50,764,1
50,510,3
50,468,3
50,241,3
50,213,0
50,783,3
50,153,0
50,153,0
51,442,0
51,517,0
51,213,0
51,50,0
51,609,0
51,39,0
51,13,0
51,797,0
51,688,0
51,675,0
52,213,0
52,153,0
53,474,0
53,250,0
53,817,0
53,10,0
53,31,0
53,109,0
53,219,0
53,538,0
53,390,0
53,449,0
54,256,0
54,213,0
54,153,0
54,116,2
54,664,2
54,86,3
54,697,3
54,786,2
54,639,3
54,641,2
55,293,0
55,406,0
55,419,0
55,442,0
55,609,0
55,552,0
55,570,0
55,585,0
55,525,0
55,786,0
56,292,0
56,285,0
56,213,0
56,371,0
