item,worker,label
0,16,0
0,134,1
0,65,1
0,95,1
0,104,1
0,94,1
0,130,1
0,93,1
0,114,1
0,6,1
0,11,1
0,50,1
0,57,1
0,24,1
0,18,1
0,2,1
0,111,1
0,106,1
0,86,1
0,37,1
395,118,0
395,69,0
395,65,0
395,130,0
395,131,1
395,11,0
395,67,1
395,114,0
395,0,0
395,94,0
395,40,0
395,71,0
395,111,0
395,116,0
395,85,0
395,47,0
395,97,0
395,78,0
395,57,0
395,6,0
396,40,0
396,114,0
396,97,1
396,138,0
396,6,0
396,134,0
396,35,0
396,33,0
396,85,0
396,70,0
396,11,0
396,71,0
396,93,0
396,29,1
396,118,0
396,60,0
396,105,1
396,120,0
396,57,0
396,64,0
397,131,0
397,134,0
397,65,0
397,49,0
397,59,0
397,18,0
397,120,0
397,83,0
397,71,0
397,38,0
397,8,0
397,130,0
397,124,0
397,5,0
397,70,0
397,28,0
397,114,0
397,104,0
397,92,0
397,85,0
1,97,1
1,82,0
1,8,1
1,111,1
1,57,1
1,71,1
1,125,1
1,131,0
1,118,1
1,67,1
1,94,1
1,18,1
1,72,1
1,50,1
1,85,1
1,68,1
1,92,1
1,11,1
1,110,1
1,93,1
2,79,1
2,85,1
2,114,1
2,50,1
2,32,1
2,104,1
2,57,1
2,130,1
2,108,1
2,95,1
2,11,1
2,47,1
2,118,1
2,5,1
2,90,1
2,66,1
2,71,1
2,111,0
2,94,1
2,8,1
4,114,1
4,130,1
4,70,1
4,93,1
4,19,1
4,71,1
4,111,1
4,118,1
4,79,1
4,131,1
4,31,1
4,133,1
4,8,1
4,100,1
4,59,1
4,99,1
4,23,1
4,136,1
4,47,1
4,37,1
5,130,1
5,52,1
5,88,1
5,110,1
5,122,1
5,105,1
5,79,1
5,66,1
5,77,1
5,94,1
5,71,1
5,2,1
5,90,1
5,19,1
5,104,1
5,16,1
5,58,1
5,29,1
5,38,1
5,89,1
398,118,0
398,59,0
398,88,0
398,69,0
398,47,0
398,67,0
398,111,0
398,66,0
398,30,0
398,40,1
398,97,1
398,114,0
398,12,0
398,104,0
398,62,1
398,71,0
398,37,0
398,3,0
398,94,0
398,70,0
399,110,1
399,45,0
399,22,0
399,71,0
399,88,0
399,13,0
399,80,0
399,15,0
399,29,0
399,111,0
399,2,0
399,114,0
399,40,0
399,7,0
399,39,0
399,130,0
399,89,0
399,120,0
399,94,0
399,134,0
400,29,1
400,35,0
400,40,0
400,66,0
400,79,0
400,97,0
400,99,0
400,130,0
400,96,0
400,19,0
400,71,0
400,65,0
400,2,0
400,116,0
400,47,0
400,74,0
400,114,0
400,134,0
400,64,0
400,94,0
401,122,0
401,85,0
401,130,1
401,98,0
401,118,0
401,95,0
401,120,0
401,116,0
401,19,0
401,30,0
401,40,0
401,78,0
401,21,0
401,134,0
401,114,0
401,64,0
401,65,0
401,47,0
401,94,0
401,71,0
8,66,1
8,79,1
8,108,0
8,47,1
8,85,1
8,71,1
8,91,1
8,94,1
8,34,1
8,21,1
8,16,0
8,76,0
8,57,1
8,29,1
8,131,1
8,31,0
8,50,1
8,18,1
8,74,1
8,70,1
10,118,1
10,17,1
10,127,1
10,83,1
10,50,1
10,71,1
10,130,1
10,134,1
10,63,1
10,96,1
10,64,1
10,131,1
10,120,1
10,66,1
10,86,1
10,133,1
10,47,1
10,40,1
10,21,1
10,65,1
12,129,1
12,120,1
12,131,1
12,13,1
12,21,1
12,112,1
12,94,1
12,71,1
12,65,1
12,19,1
12,99,1
12,130,1
12,88,1
12,11,1
12,57,1
12,63,1
12,109,1
12,24,1
12,97,1
12,81,1
13,19,1
13,131,1
13,97,1
13,32,1
13,85,1
13,24,1
13,21,1
13,2,1
13,86,1
13,125,1
13,83,1
13,29,1
13,65,1
13,6,1
13,8,1
13,79,1
13,84,1
13,77,1
13,111,1
13,93,1
405,88,0
405,69,0
405,130,1
405,11,0
405,120,0
405,16,0
405,40,0
405,133,0
405,59,0
405,38,0
405,8,0
405,19,0
405,50,0
405,105,0
405,104,0
405,23,1
405,57,1
405,131,0
405,137,0
405,66,0
82,29,1
82,78,1
82,70,1
82,93,1
82,77,1
82,134,1
82,59,1
82,15,1
82,5,1
82,47,1
82,11,1
82,71,1
82,41,1
82,111,1
82,10,1
82,85,1
82,116,1
82,94,1
82,118,1
82,64,1
14,94,1
14,6,1
14,88,1
14,43,1
14,136,1
14,18,1
14,8,1
14,71,1
14,99,1
14,130,1
14,114,1
14,52,1
14,40,1
14,83,1
14,19,1
14,2,1
14,93,1
14,120,1
14,84,1
14,90,1
15,71,1
15,138,1
15,132,1
15,142,1
15,31,1
15,134,1
15,116,1
15,108,1
15,78,1
15,106,1
15,67,1
15,40,1
15,105,1
15,65,1
15,130,1
15,97,1
15,93,1
15,61,0
15,34,1
15,110,0
16,11,1
16,94,1
16,112,1
16,57,1
16,46,1
16,129,0
16,21,1
16,71,1
16,64,1
16,89,0
16,120,0
16,70,1
16,104,1
16,47,1
16,83,1
16,17,1
16,116,0
16,5,1
16,24,1
16,111,1
407,18,1
407,76,1
407,6,1
407,120,1
407,40,1
407,118,1
407,75,1
407,79,1
407,60,1
407,108,1
407,97,1
407,90,1
407,50,1
407,64,1
407,83,1
407,21,1
407,131,0
407,29,1
407,47,1
407,96,1
408,37,0
408,120,0
408,17,0
408,104,0
408,11,0
408,130,0
408,59,0
408,134,0
408,18,0
408,8,0
408,6,0
408,31,0
408,98,0
408,70,0
408,57,0
408,85,0
408,50,0
408,47,0
408,114,0
408,67,0
18,130,1
18,111,1
18,93,1
18,97,1
18,23,1
18,8,1
18,18,1
18,94,1
18,40,1
18,114,1
18,47,1
18,88,1
18,85,1
18,57,1
18,107,1
18,83,1
18,79,1
18,11,1
18,142,1
18,96,1
19,77,1
19,59,0
19,130,1
19,46,1
19,42,0
19,88,1
19,18,1
19,53,1
19,133,0
19,114,1
19,47,1
19,70,1
19,5,1
19,109,1
19,134,0
19,123,1
19,37,1
19,29,0
19,21,1
19,15,1
452,138,0
452,71,1
452,50,1
452,89,1
452,18,0
452,101,0
452,131,1
452,116,0
452,40,1
452,130,0
