item,worker,label
0,29,1
0,34,1
0,36,1
0,24,0
0,16,1
0,1,0
0,13,1
0,37,1
0,15,1
0,12,0
0,4,1
0,7,1
0,5,1
0,9,0
0,28,1
0,27,1
0,21,0
0,18,0
0,20,1
0,11,1
0,2,1
0,26,1
0,35,1
0,31,1
0,30,1
0,17,0
0,8,1
0,3,1
0,0,1
0,32,0
0,23,0
0,38,1
0,19,1
0,10,1
0,14,1
0,33,0
0,6,1
0,25,0
0,22,0
1,17,0
1,15,1
1,27,0
1,34,1
1,21,0
1,0,1
1,24,1
1,29,1
1,36,0
1,16,1
1,22,0
1,32,0
1,13,1
1,6,1
1,3,1
1,38,1
1,18,0
1,23,0
1,1,0
1,26,1
1,8,1
1,37,0
1,33,1
1,9,0
1,19,0
1,20,0
1,30,0
1,14,0
1,2,1
1,11,0
1,12,0
1,5,1
1,28,1
1,4,1
1,10,0
1,35,0
1,31,1
1,25,0
1,7,1
2,12,0
2,4,1
2,13,1
2,5,1
2,16,1
2,9,0
2,37,1
2,36,0
2,1,1
2,27,0
2,22,0
2,15,1
2,21,1
2,6,1
2,28,1
2,38,0
2,8,1
2,18,0
2,10,0
2,14,1
2,19,1
2,25,0
2,20,0
2,11,1
2,30,1
2,2,1
2,31,1
2,33,1
2,17,0
2,34,1
2,35,1
2,29,1
2,3,1
2,0,1
2,23,0
2,7,1
2,24,1
2,26,1
2,32,0
3,24,1
3,1,0
3,5,0
3,27,0
3,31,0
3,8,0
3,12,1
3,29,0
3,3,0
3,17,0
3,14,0
3,23,0
3,0,0
3,16,1
3,11,1
3,20,0
3,2,1
3,34,0
3,37,0
3,36,0
3,32,0
3,13,1
3,4,1
3,18,0
3,9,0
3,6,1
3,33,0
3,25,1
3,38,0
3,26,1
3,19,0
3,22,0
3,28,1
3,7,0
3,35,1
3,15,1
3,21,0
3,10,1
3,30,0
4,28,0
4,11,1
4,9,0
4,16,1
4,35,0
4,26,1
4,13,1
4,30,0
4,3,0
4,34,1
4,1,0
4,37,1
4,24,1
4,2,1
4,20,0
4,0,1
4,21,0
4,15,0
4,7,1
4,36,1
4,23,0
4,17,0
4,22,0
4,8,0
4,14,1
4,18,0
4,10,0
4,32,0
4,29,1
4,25,0
4,19,1
4,5,1
4,33,0
4,4,0
4,27,0
4,31,0
4,12,1
4,38,0
4,6,1
5,26,1
5,5,0
5,32,1
5,14,1
5,36,1
5,29,1
5,23,0
5,20,0
5,0,1
5,17,1
5,18,1
5,10,0
5,11,1
5,2,1
5,33,1
5,31,0
5,6,0
5,34,1
5,30,1
5,7,1
5,19,1
5,4,1
5,15,1
5,13,1
5,22,0
5,21,1
5,9,0
5,28,1
5,1,1
5,8,1
5,16,1
5,27,0
5,37,0
5,25,1
5,12,1
5,3,1
5,35,1
5,24,1
5,38,0
6,13,1
6,34,1
6,15,0
6,12,0
6,18,0
6,10,0
6,16,1
6,26,1
6,32,0
6,8,1
6,1,1
6,11,1
6,2,1
6,28,1
6,35,1
6,33,0
6,6,0
6,9,0
6,29,1
6,20,1
6,14,1
6,21,1
6,22,0
6,23,0
6,4,1
6,31,1
6,36,1
6,30,0
6,3,1
6,7,1
6,0,1
6,5,1
6,25,0
6,37,1
6,27,0
6,38,0
6,17,0
6,24,1
6,19,0
7,2,1
7,5,1
7,37,1
7,22,0
7,31,1
7,29,1
7,19,1
7,33,1
7,13,1
7,10,0
7,20,0
7,14,0
7,9,0
7,28,0
7,36,1
7,21,1
7,26,1
7,16,1
7,18,1
7,25,1
7,7,1
7,15,1
7,27,1
7,38,1
7,6,0
7,35,0
7,11,1
7,34,1
7,3,1
7,30,1
7,24,0
7,17,0
7,0,1
7,8,1
7,1,1
7,32,1
7,4,1
7,23,1
7,12,1
8,23,0
8,13,1
8,12,1
8,9,0
8,2,1
8,27,0
8,29,1
8,17,1
8,1,1
8,10,1
8,3,1
8,30,0
8,25,0
8,19,0
8,28,1
8,0,1
8,5,1
8,16,1
8,33,1
8,18,1
8,6,1
8,22,0
8,20,0
8,7,1
8,26,1
8,8,0
8,38,0
8,31,1
8,35,1
8,15,1
8,11,1
8,24,1
8,37,1
8,34,1
8,4,1
8,36,0
8,14,1
8,32,1
8,21,0
9,16,0
9,1,0
9,36,0
9,26,0
9,34,0
9,20,1
9,29,1
9,12,0
9,8,0
9,28,0
9,18,0
9,11,1
9,37,0
9,25,0
9,2,1
9,33,1
9,38,0
9,13,1
9,5,1
9,31,0
9,27,0
9,17,0
9,10,0
9,22,0
9,7,1
9,19,1
9,23,0
9,6,1
9,9,1
9,4,1
9,21,0
9,32,0
9,0,1
9,15,1
9,35,0
9,24,1
9,14,0
9,30,0
9,3,1
10,34,1
10,26,1
10,11,1
10,8,0
10,30,0
10,17,1
10,24,1
10,32,0
10,23,1
10,1,1
10,19,1
10,6,1
10,0,1
10,29,1
10,15,1
10,33,0
10,21,1
10,20,0
10,14,1
10,36,1
10,25,0
10,12,0
10,27,0
10,2,0
10,18,0
10,31,1
10,10,1
10,22,0
10,9,0
10,3,1
10,28,0
10,7,1
10,16,1
10,4,1
10,5,1
10,13,1
10,35,0
10,37,0
10,38,1
11,23,1
11,14,0
11,35,0
11,24,1
11,9,0
11,6,1
11,18,1
11,19,1
11,17,0
11,26,1
11,34,1
11,37,1
11,30,1
11,36,1
11,1,0
11,7,1
11,13,1
11,12,1
11,31,1
11,32,0
11,29,1
11,10,0
11,38,1
11,3,0
11,16,1
11,8,1
11,33,1
11,4,1
11,2,1
11,20,1
11,27,0
11,22,0
11,21,1
11,11,1
11,15,1
11,0,0
11,25,0
11,28,0
11,5,1
12,25,0
12,38,1
12,14,0
12,18,0
12,33,0
12,10,1
12,24,0
12,12,0
12,28,1
12,23,1
12,31,1
12,15,1
12,21,1
12,29,1
12,27,1
12,20,0
12,32,0
12,36,1
12,13,1
12,17,0
12,8,1
12,30,0
12,16,1
12,4,1
12,2,1
12,1,1
12,37,0
12,34,1
12,11,1
12,6,1
12,35,0
12,5,1
12,26,1
12,0,1
12,22,0
12,19,1
12,3,1
12,9,0
12,7,1
13,38,1
13,6,1
13,35,1
13,7,1
13,33,0
13,3,1
13,24,0
13,22,0
13,34,1
13,30,1
13,29,0
13,10,1
13,5,0
13,16,1
13,1,0
13,32,1
13,14,0
13,27,0
13,13,1
13,8,1
13,4,1
13,12,0
13,26,1
13,9,0
13,20,0
13,11,1
13,2,1
13,28,1
13,19,0
13,23,1
13,15,1
13,17,1
13,18,1
13,36,1
13,31,1
13,25,1
13,0,0
13,21,1
13,37,1
14,0,0
14,20,0
14,38,0
14,2,0
14,15,0
14,33,0
14,10,1
14,34,0
14,23,1
14,3,0
14,12,0
14,5,1
14,31,0
14,27,0
14,29,0
14,14,1
14,37,0
14,1,1
14,22,0
14,21,0
14,28,0
14,18,0
14,19,1
14,26,0
14,7,1
14,25,0
14,9,0
14,30,0
14,24,0
14,36,1
14,4,0
14,32,0
14,35,0
14,11,1
14,6,1
14,16,0
14,17,0
14,13,0
14,8,0
15,28,0
15,18,0
15,5,1
15,35,1
15,24,1
15,10,0
15,1,0
15,25,0
15,13,1
15,11,1
15,37,1
15,14,0
15,34,1
15,8,0
15,22,0
15,2,1
15,38,1
15,33,1
15,30,1
15,20,0
15,4,1
15,23,0
15,7,1
15,27,0
15,36,0
15,17,1
15,19,1
15,3,1
15,0,1
15,16,1
15,31,0
15,21,1
15,9,1
15,6,1
15,32,0
15,29,1
15,26,1
15,12,1
15,15,0
16,36,0
16,4,1
16,8,0
16,27,0
16,16,0
16,2,1
16,34,1
16,23,0
16,29,1
16,12,1
16,5,1
16,31,0
16,20,0
16,37,0
16,11,1
16,32,0
16,17,0
16,0,0
16,19,1
16,10,0
16,3,0
16,30,1
16,18,0
16,28,0
16,22,0
16,38,1
16,33,0
16,9,0
16,25,0
16,35,1
16,13,1
