item,worker,label
2168,76,1
4984,76,0
3411,76,1
2109,76,0
1357,76,1
2168,54,1
4984,54,0
3411,54,0
2109,54,1
1357,54,0
2168,113,1
4984,113,0
3411,113,1
2109,113,1
1357,113,1
2168,58,1
4984,58,0
3411,58,0
1357,58,1
2168,64,1
4984,64,0
3411,64,0
2109,64,1
1357,64,0
3779,54,0
2458,54,1
4061,54,0
4194,54,0
4488,54,0
3779,48,1
2458,48,1
4061,48,1
4194,48,1
4488,48,1
3779,64,0
2458,64,1
4061,64,0
4194,64,0
4488,64,0
3779,58,0
2458,58,1
4061,58,0
4194,58,0
4488,58,0
3779,194,0
2458,194,1
4061,194,0
4194,194,0
4488,194,0
2155,26,1
3782,26,0
2106,26,1
3574,26,0
4992,26,0
2155,48,1
3782,48,0
2106,48,1
3574,48,1
4992,48,0
2155,98,1
3782,98,1
2106,98,1
3574,98,0
4992,98,0
2155,190,1
3782,190,0
2106,190,1
3574,190,0
4992,190,0
2155,3,1
3782,3,1
2106,3,1
3574,3,0
4992,3,0
1503,111,1
1536,111,1
1306,111,1
2082,111,1
3019,111,0
1503,36,1
1536,36,1
1306,36,1
2082,36,1
3019,36,0
1503,131,0
1536,131,1
1306,131,1
2082,131,1
3019,131,0
1503,48,1
1536,48,1
1306,48,1
2082,48,1
3019,48,1
1503,194,1
1536,194,1
1306,194,1
2082,194,1
3019,194,0
1835,194,1
281,194,1
3983,194,0
1746,194,1
1507,194,1
1835,187,1
281,187,1
3983,187,0
1746,187,1
1507,187,0
1835,190,1
281,190,1
3983,190,0
1746,190,1
1507,190,1
1835,48,1
281,48,1
3983,48,0
1746,48,1
1507,48,1
1835,182,1
281,182,1
3983,182,0
1746,182,1
1507,182,1
4224,64,0
3922,64,0
731,64,1
949,64,1
2762,64,0
4224,48,0
3922,48,0
731,48,1
949,48,1
2762,48,0
4224,155,0
3922,155,0
731,155,1
949,155,1
2762,155,0
4224,187,0
3922,187,0
731,187,1
949,187,1
2762,187,0
4224,26,0
3922,26,0
731,26,1
949,26,1
2762,26,0
102,194,1
807,194,1
4539,194,0
440,194,1
4810,194,0
102,131,1
807,131,1
4539,131,0
440,131,1
4810,131,0
102,166,1
807,166,1
4539,166,0
440,166,1
4810,166,0
102,36,1
807,36,1
4539,36,0
440,36,1
4810,36,0
102,48,1
807,48,1
4539,48,0
440,48,1
4810,48,0
4044,194,0
2228,194,1
1940,194,1
4546,194,0
2589,194,0
4044,48,1
2228,48,1
1940,48,1
4546,48,0
2589,48,0
4044,177,0
2228,177,1
1940,177,1
4546,177,1
2589,177,0
4044,2,0
2228,2,0
1940,2,1
4546,2,1
2589,2,1
4044,187,1
2228,187,1
1940,187,1
4546,187,1
2589,187,0
2883,127,1
1703,127,1
1768,127,1
4404,127,1
4612,127,0
2883,48,0
