item,worker,label
0,0,3
0,1,2
0,2,3
0,3,3
0,4,3
0,5,2
0,6,0
0,7,2
0,8,3
0,9,2
1,8,3
1,2,2
1,15,2
1,0,2
1,16,2
1,13,2
1,12,3
1,11,2
1,10,2
1,14,2
2,15,0
2,21,0
2,20,1
2,19,1
2,18,1
2,17,1
2,12,1
2,2,1
2,11,1
2,16,1
3,28,1
3,30,0
3,19,0
3,29,0
3,27,0
3,24,0
3,25,0
3,26,0
3,23,0
3,22,0
4,34,3
4,30,2
4,24,3
4,27,3
4,33,3
4,2,2
4,15,3
4,32,3
4,31,2
4,19,2
5,15,2
5,24,2
5,38,3
5,19,2
5,12,2
5,34,2
5,36,2
5,35,3
5,0,2
5,37,2
6,20,1
6,10,0
6,42,1
6,8,1
6,41,1
6,39,1
6,40,1
6,12,1
6,33,1
6,34,0
7,0,0
7,39,0
7,43,0
7,2,1
7,44,0
7,22,0
7,45,0
7,46,0
7,19,0
7,4,1
8,8,0
8,15,2
8,33,0
8,26,0
8,51,0
8,48,0
8,34,0
8,49,0
8,50,1
8,47,0
9,8,0
9,50,0
9,2,1
9,11,0
9,20,0
9,33,0
9,52,0
9,15,0
9,1,2
9,53,0
10,54,0
10,18,0
10,34,0
10,53,1
10,2,1
10,4,0
10,30,0
10,24,0
10,49,0
10,38,0
11,25,1
11,30,1
11,7,1
11,33,1
11,3,1
11,42,0
11,0,1
11,1,1
11,49,0
11,9,0
12,9,3
12,12,3
12,11,3
12,8,3
12,4,2
12,24,2
12,0,3
12,42,3
12,13,2
12,1,3
13,15,0
13,43,0
13,57,2
13,56,1
13,5,1
13,55,1
13,35,1
13,34,0
13,11,1
13,8,1
14,27,3
14,2,2
14,42,2
14,58,3
14,15,3
14,41,3
14,33,3
14,54,3
14,39,3
14,35,3
15,10,1
15,61,0
15,30,0
15,24,0
15,60,0
15,49,0
15,59,0
15,33,0
15,55,0
15,46,0
16,21,2
16,44,3
16,42,3
16,20,3
16,57,2
16,38,3
16,9,3
16,39,3
16,12,3
16,16,3
17,53,1
