item,worker,label
0,14,0
0,25,0
0,74,1
0,83,1
0,30,1
0,65,0
0,55,0
0,78,0
0,47,1
0,72,1
0,20,0
0,22,0
0,84,0
0,41,1
0,16,1
0,21,0
0,38,0
0,82,0
0,50,0
0,73,0
1,25,1
1,50,0
1,73,0
1,21,0
1,16,1
1,41,0
1,84,1
1,22,0
1,14,0
1,47,0
1,78,0
1,55,0
1,65,0
1,30,0
1,83,1
1,74,0
1,72,1
1,38,0
1,82,0
1,20,0
2,20,0
2,38,0
2,25,1
2,74,0
2,83,1
2,30,1
2,65,0
2,55,0
2,78,0
2,47,0
2,72,0
2,22,0
2,84,0
2,41,1
2,16,1
2,21,0
2,73,0
2,50,0
2,82,0
2,14,0
3,14,1
3,47,0
3,20,1
3,82,1
3,38,1
3,25,0
3,74,1
3,83,1
3,30,1
3,55,1
3,78,0
3,65,1
3,72,0
3,22,1
3,84,1
3,41,1
3,16,1
3,21,1
3,73,1
3,50,1
4,72,1
4,30,1
4,65,0
4,55,0
4,78,0
4,47,0
4,83,1
4,14,0
4,82,0
4,84,1
4,41,1
4,16,1
4,21,0
4,73,0
4,50,0
4,20,0
4,74,0
4,22,0
4,25,1
4,38,0
5,82,1
5,25,0
5,74,1
5,83,1
5,30,0
5,65,1
5,55,1
5,78,1
5,47,0
5,72,0
5,38,1
5,22,1
5,84,0
5,41,0
5,16,1
5,21,1
5,73,1
5,50,1
5,20,1
5,14,1
6,55,0
6,65,0
6,30,1
6,38,0
6,74,0
6,25,1
6,78,0
6,83,1
6,47,0
6,41,1
6,14,0
6,22,0
6,84,0
6,16,1
6,21,0
6,73,0
6,50,0
6,82,0
6,72,1
6,20,0
7,38,0
7,25,0
7,82,0
7,20,1
7,73,0
7,21,1
7,16,1
7,84,0
7,22,1
7,14,0
7,72,1
7,41,1
7,78,0
7,55,0
7,65,0
7,30,1
7,83,1
7,74,0
7,47,0
7,50,1
8,55,0
8,65,0
8,30,0
8,25,0
8,74,0
8,38,0
8,78,0
8,83,1
8,47,0
8,50,0
8,14,0
8,22,0
8,84,1
8,41,0
8,16,1
8,21,0
8,73,0
8,20,0
8,82,0
8,72,0
9,74,0
9,83,1
9,82,0
9,25,1
9,30,1
9,65,0
9,55,0
9,78,1
9,47,0
9,72,0
9,14,0
9,38,0
9,84,1
9,22,0
9,50,0
9,73,0
9,20,0
9,16,1
9,41,0
9,21,0
10,25,1
10,74,0
10,83,1
10,30,1
10,65,0
10,82,0
10,55,1
10,78,1
10,47,1
10,14,0
10,38,0
10,84,1
10,41,1
10,16,1
10,21,0
10,73,0
10,50,1
10,20,0
10,72,1
10,22,0
11,50,0
11,20,0
11,38,0
11,25,1
11,74,1
11,83,1
11,30,1
11,65,0
11,55,0
11,82,0
11,78,1
11,72,0
11,14,0
11,22,0
11,84,0
11,16,1
11,21,0
11,73,0
11,47,0
11,41,1
12,21,0
12,14,0
12,74,1
12,83,1
12,30,1
12,65,0
12,55,0
12,78,0
12,47,0
12,72,1
12,25,0
12,22,0
12,84,1
12,41,1
12,16,1
12,73,0
12,50,0
12,20,0
12,82,0
12,38,0
13,21,0
13,41,1
13,20,0
13,82,0
13,84,1
13,22,0
13,14,0
13,72,0
13,47,0
13,78,0
13,55,0
13,16,1
13,30,1
13,83,1
13,74,1
13,25,0
13,38,0
13,73,0
13,50,0
13,65,0
14,20,1
14,82,1
14,21,1
14,16,1
14,41,0
14,84,1
14,22,1
14,14,0
14,55,1
14,47,1
14,78,1
14,65,1
14,30,0
14,83,1
14,74,1
14,38,1
14,72,1
14,25,1
14,50,1
14,73,1
15,38,0
15,25,0
15,74,0
15,83,1
15,30,1
15,55,0
15,78,1
15,47,0
15,72,0
15,65,0
15,22,0
15,14,0
15,20,0
15,50,0
15,73,0
15,82,0
15,16,1
15,41,1
15,84,1
15,21,0
16,72,1
16,25,1
16,74,0
16,83,1
16,30,1
16,65,0
16,55,0
16,78,0
16,47,0
16,38,0
16,73,0
16,22,0
16,14,0
16,20,0
16,50,0
16,82,0
16,16,1
16,41,1
16,84,1
16,21,0
17,84,0
17,82,0
17,20,1
17,50,1
17,73,1
17,21,0
17,16,1
17,41,1
17,22,1
17,72,0
17,47,1
17,78,1
17,55,1
17,65,1
17,30,1
17,83,1
17,74,0
17,25,0
17,38,1
17,14,0
18,83,1
18,16,1
18,21,1
18,20,1
18,50,1
18,41,0
18,73,0
18,84,1
18,78,1
18,14,0
18,72,1
18,47,1
18,82,0
18,55,1
18,65,1
18,30,1
18,22,0
18,25,1
18,74,0
18,38,1
19,30,0
19,82,0
19,20,0
19,50,0
19,73,0
19,21,0
19,16,1
19,41,1
19,84,1
19,22,0
19,14,0
19,72,0
19,47,1
19,55,0
19,65,0
19,83,1
19,78,1
19,25,0
19,74,0
19,38,0
20,25,1
20,42,0
20,74,0
20,40,0
20,83,1
20,75,0
20,65,0
20,16,0
20,68,0
20,72,1
20,51,0
20,22,0
20,84,1
20,41,0
20,44,0
20,20,0
20,36,0
20,50,0
20,47,0
20,21,0
21,25,0
21,74,0
21,40,1
21,42,0
21,75,0
21,65,1
21,16,0
21,68,0
21,36,0
21,47,0
21,83,1
21,51,0
21,72,0
21,21,0
21,20,0
21,50,0
21,41,1
21,84,1
21,22,0
21,44,0
22,44,0
22,47,1
22,41,1
22,84,1
22,22,0
22,51,0
22,72,1
22,36,0
22,83,1
22,65,1
22,75,0
22,40,0
22,74,1
22,42,0
22,25,0
22,20,0
22,16,0
22,21,1
22,68,0
22,50,0
23,50,1
23,21,1
23,20,1
23,44,1
23,41,1
23,22,1
23,51,1
23,72,0
23,47,1
23,25,1
23,36,1
23,74,0
23,40,1
23,83,1
23,75,1
23,42,1
23,65,0
23,16,0
23,68,1
23,84,0
24,50,0
24,21,0
24,20,0
24,44,0
24,25,1
24,42,0
24,74,0
24,40,0
24,83,1
24,75,0
24,65,0
24,68,0
24,36,0
24,47,0
24,72,1
24,51,0
24,22,0
24,84,0
24,41,1
24,16,0
25,72,0
25,51,0
25,22,0
25,50,0
25,41,0
25,44,0
25,47,1
25,84,0
25,36,0
25,75,0
25,16,0
25,65,0
25,83,1
25,40,1
25,74,0
25,42,0
25,25,0
25,21,0
25,68,0
25,20,0
26,21,0
26,42,0
26,50,0
26,20,0
26,44,0
26,84,0
26,22,0
26,51,0
26,72,1
26,47,0
26,41,1
26,68,0
26,36,0
26,74,0
26,40,0
26,83,1
26,25,1
26,75,0
26,65,0
26,16,0
27,50,0
27,20,0
27,44,0
27,41,1
27,84,0
27,22,0
27,51,0
27,72,0
27,47,1
27,21,0
27,36,0
27,16,0
27,65,0
27,75,0
27,83,1
27,40,0
27,74,0
27,42,0
27,25,0
27,68,0
28,51,1
28,22,1
28,20,1
28,41,0
28,44,1
28,47,1
28,84,0
28,36,1
28,83,1
28,16,0
28,65,1
28,75,1
28,40,1
28,74,1
28,42,1
28,25,0
28,50,1
28,68,1
28,21,1
28,72,1
29,50,1
29,25,1
29,42,1
29,74,0
29,40,1
29,75,0
29,65,1
29,16,0
29,68,1
29,83,1
29,47,1
29,36,1
29,20,0
29,44,0
29,41,1
29,21,0
29,22,1
29,51,0
29,72,0
29,84,0
30,47,0
30,20,0
30,44,0
30,41,1
30,84,0
30,22,0
30,51,0
30,72,1
30,21,0
30,50,0
30,16,0
30,68,0
30,25,1
30,42,0
30,74,0
30,36,0
30,83,1
30,75,0
30,65,0
30,40,0
31,25,0
31,42,1
31,74,0
31,40,0
31,83,1
31,75,1
31,65,1
31,16,0
31,36,1
31,47,0
31,72,0
31,22,1
31,84,0
31,41,1
31,44,1
31,20,1
31,21,1
31,68,1
31,51,0
31,50,1
32,25,0
32,75,0
32,65,0
32,16,0
32,68,1
32,36,1
32,47,1
32,72,1
32,51,0
32,22,0
32,84,1
32,41,1
32,44,0
32,20,0
32,21,0
32,50,0
32,83,1
32,40,1
32,42,0
32,74,0
33,84,1
33,20,1
33,21,1
33,50,1
33,22,1
33,51,1
33,72,0
33,47,1
33,36,1
33,41,0
33,68,1
33,65,1
33,75,1
33,83,1
33,40,1
33,74,1
33,42,1
33,25,1
33,16,0
33,44,1
34,20,1
34,44,1
34,41,1
34,22,1
34,84,0
34,21,0
34,51,0
34,72,1
34,47,1
34,36,1
34,68,1
34,16,0
34,50,1
34,75,1
34,83,1
34,40,0
34,74,0
34,42,1
34,25,0
34,65,1
