item,truth
0,3
1,2
2,1
3,0
4,3
5,2
6,0
7,0
8,0
9,0
10,0
11,1
12,3
13,1
14,3
15,0
16,3
17,1
18,1
19,1
20,2
21,3
22,0
23,1
24,2
25,3
26,3
27,2
28,3
29,1
30,2
31,1
32,0
33,0
34,3
35,3
36,3
37,2
38,3
39,2
40,2
41,0
42,3
43,2
44,0
45,0
46,1
47,2
48,2
49,1
50,2
51,2
52,1
53,0
54,2
55,1
56,3
57,3
58,1
59,2
60,3
61,0
62,1
63,2
64,3
65,3
66,2
67,0
68,2
69,2
70,2
71,3
72,1
73,1
74,3
75,3
76,3
77,3
78,2
79,1
80,1
81,2
82,0
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,0
92,2
93,3
94,1
95,2
96,1
97,2
98,0
99,0
100,2
101,1
102,1
103,2
104,1
105,3
106,3
107,0
108,1
109,2
110,3
111,0
112,3
113,2
114,2
115,3
116,2
117,2
118,0
119,0
120,0
121,2
122,2
123,2
124,0
125,2
126,3
127,3
128,2
129,1
130,0
131,1
132,1
133,3
134,2
135,1
136,3
137,2
138,3
139,0
140,3
141,2
142,0
143,1
144,0
145,1
146,3
147,2
148,3
149,3
150,3
151,1
152,2
153,0
154,2
155,2
156,1
157,2
158,1
159,1
160,2
161,1
162,3
163,3
164,0
165,2
166,0
167,0
168,1
169,1
170,2
171,2
172,1
173,3
174,1
175,1
176,0
177,3
178,2
179,3
180,3
181,3
182,3
183,3
184,3
185,2
186,3
187,0
188,0
189,3
190,1
191,3
192,3
193,0
194,3
195,3
196,3
197,2
198,3
199,3
200,2
201,2
202,2
203,1
204,0
205,3
206,1
207,1
208,2
209,2
210,0
211,1
212,1
213,1
214,0
215,0
216,1
217,2
218,1
219,0
220,3
221,2
222,2
223,0
224,0
225,2
226,3
227,2
228,0
229,1
230,1
231,3
232,1
233,1
234,2
235,0
236,1
237,2
238,1
239,2
240,0
241,2
242,1
243,1
244,3
245,3
246,2
247,2
248,1
249,3
250,1
251,2
252,2
253,3
254,2
255,1
256,0
257,3
258,2
259,2
260,1
261,2
262,0
263,1
264,3
265,1
266,2
267,2
268,0
269,3
270,3
271,3
272,3
273,2
274,1
275,2
276,2
277,2
278,1
279,3
280,0
281,1
282,0
283,1
284,0
285,2
286,0
287,0
288,2
289,1
290,3
291,2
292,3
293,2
294,0
295,0
296,2
297,0
298,0
299,1
300,3
301,0
302,3
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,3
311,3
312,3
313,0
314,0
315,1
316,3
317,1
318,2
319,3
320,0
321,3
322,2
323,3
324,2
325,2
326,0
327,3
328,3
329,0
330,3
331,2
332,0
333,3
334,0
335,2
336,3
337,0
338,2
339,1
340,3
341,3
342,1
343,2
344,1
345,2
346,1
347,2
348,1
349,1
350,3
351,1
352,2
353,1
354,3
355,0
356,0
357,3
358,2
359,0
360,2
361,1
362,3
363,3
364,1
365,3
366,1
367,0
368,2
369,3
370,0
371,3
372,2
373,1
374,2
375,0
376,2
377,2
378,2
379,0
380,3
381,3
382,1
383,3
384,2
385,2
386,1
387,1
388,2
389,3
390,3
391,1
392,0
393,3
394,1
395,0
396,2
397,1
398,0
399,2
400,3
401,1
402,1
403,3
404,2
405,1
406,1
407,1
408,1
409,0
410,1
411,3
412,3
413,3
414,2
415,3
416,0
417,3
418,3
419,1
420,3
421,3
422,0
423,1
424,2
425,1
426,3
427,0
428,2
429,2
430,3
431,2
432,0
433,1
434,0
435,3
436,3
437,3
438,1
439,0
440,3
441,3
442,0
443,1
444,0
445,3
446,0
447,2
448,3
449,3
450,3
451,2
452,3
453,2
454,3
455,2
456,3
457,0
458,2
459,1
460,3
461,3
462,1
463,2
464,2
465,0
466,2
467,2
468,1
469,3
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,3
478,3
479,0
480,1
481,3
482,3
483,3
484,2
485,2
486,3
487,0
488,2
489,2
490,3
491,2
492,1
493,3
494,2
495,1
496,3
497,2
498,3
499,2
500,0
501,2
502,3
