item,worker,label
0,145,0
0,115,0
0,50,1
1,87,0
1,172,0
1,17,1
2,168,0
2,26,0
2,82,0
3,172,0
3,22,0
3,128,1
4,65,0
4,82,0
4,22,0
5,172,0
5,167,0
5,78,1
6,50,0
6,152,0
6,2,0
7,167,0
7,26,0
7,172,0
8,167,0
8,26,0
8,172,0
9,26,0
9,172,0
9,167,0
10,74,0
10,13,1
10,50,1
11,26,0
11,167,0
11,172,0
12,172,0
12,26,0
12,167,0
13,72,0
13,91,0
13,146,0
14,89,0
14,85,0
14,88,0
15,115,0
15,99,0
15,7,0
16,50,1
16,13,1
16,74,0
17,52,1
17,50,1
17,136,1
18,73,0
18,123,0
18,135,0
19,26,0
19,167,0
19,172,0
20,172,0
20,50,1
20,165,0
21,82,1
21,87,1
21,135,1
22,103,0
22,50,1
22,82,0
23,73,0
23,89,0
23,50,0
24,85,0
24,1,0
24,124,0
25,123,0
25,50,1
25,172,0
26,167,0
26,172,0
26,52,1
27,22,0
27,50,1
27,54,0
28,54,0
28,50,1
28,22,1
29,172,0
29,72,0
29,168,0
30,73,0
30,172,0
30,52,1
31,87,0
31,26,0
31,172,0
32,50,0
32,26,0
32,85,0
33,89,0
33,100,0
33,101,0
34,18,0
34,118,1
34,50,0
35,154,0
35,87,0
35,36,0
36,26,0
36,172,0
36,168,0
37,172,0
37,115,0
37,166,0
38,59,0
38,22,0
38,172,0
39,126,0
39,73,0
39,50,0
40,1,0
40,26,0
40,115,0
41,87,0
41,52,1
41,116,0
42,96,0
42,89,0
42,26,0
43,50,0
43,172,0
43,123,0
44,153,0
44,113,0
44,150,1
45,172,0
45,73,0
45,22,0
46,89,0
46,122,0
46,2,0
47,71,0
47,58,1
47,135,0
48,22,1
48,89,1
48,168,0
49,50,0
49,26,0
49,168,0
50,38,0
50,172,0
50,135,0
51,36,0
51,4,0
51,50,1
52,2,0
52,150,1
52,72,0
53,46,0
53,84,0
53,26,0
54,26,0
54,84,0
54,46,0
55,18,0
55,163,0
55,168,0
56,52,1
56,73,0
56,100,0
57,50,1
57,1,0
57,2,1
58,73,0
58,168,0
58,167,0
59,152,0
59,82,0
59,91,0
60,168,1
60,50,0
60,135,1
61,50,0
61,135,1
61,168,0
62,47,0
62,136,0
62,158,0
63,50,0
63,26,0
63,159,0
64,26,0
64,50,1
64,159,0
65,159,0
65,50,0
65,26,0
66,159,0
66,26,0
66,50,1
67,50,1
67,52,1
67,87,0
68,52,1
68,87,0
68,50,1
69,87,0
69,50,0
69,52,0
70,72,0
70,90,0
70,32,0
71,52,1
71,89,1
71,32,0
72,165,0
72,112,0
72,83,0
73,8,0
73,84,1
73,99,0
74,165,0
74,112,0
74,83,0
75,114,1
75,12,0
75,135,0
76,115,0
76,54,0
76,52,1
77,172,0
77,168,0
77,115,0
78,8,0
78,99,0
78,84,0
79,165,1
79,112,0
79,83,1
80,112,0
80,83,0
80,165,0
81,52,0
81,91,0
81,50,1
82,87,0
82,57,1
82,172,0
83,72,0
83,32,0
83,90,1
84,16,1
84,115,1
84,87,1
85,85,0
85,26,0
85,21,1
