item,truth
0,0
1,1
2,1
3,2
4,2
5,0
6,1
7,2
8,2
9,3
10,2
11,3
12,3
13,1
14,3
15,1
16,3
17,1
18,0
19,0
20,3
21,2
22,1
23,3
24,3
25,2
26,3
27,3
28,0
29,0
30,2
31,3
32,2
33,2
34,1
35,1
36,4
37,2
38,1
39,3
40,2
41,3
42,2
43,3
44,1
45,1
46,3
47,0
48,3
49,2
50,3
51,2
52,0
53,2
54,2
55,3
56,0
57,2
58,2
59,0
60,3
61,0
62,0
63,3
64,2
65,2
66,1
67,1
68,1
69,3
70,3
71,0
72,2
73,1
74,3
75,1
76,4
77,0
78,1
79,4
80,0
81,3
82,3
83,3
84,2
85,3
86,1
87,3
88,3
89,1
90,2
91,2
92,3
93,3
94,3
95,3
96,2
97,3
98,1
99,3
100,1
101,1
102,0
103,2
104,2
105,1
106,1
107,2
108,3
109,0
110,1
111,2
112,2
113,0
114,2
115,0
116,0
117,2
118,2
119,1
120,3
121,2
122,3
123,2
124,3
125,1
126,3
127,3
128,4
129,3
130,3
131,2
132,2
133,3
134,3
135,1
136,3
137,3
138,3
139,1
140,2
141,1
142,1
143,3
144,1
145,2
146,0
147,2
148,0
149,3
150,3
151,3
152,0
153,2
154,3
155,0
156,1
157,1
158,2
159,0
160,2
161,1
162,3
163,0
164,2
165,3
166,0
167,2
168,0
169,3
170,0
171,3
172,2
173,1
174,3
175,0
176,3
177,0
178,0
179,3
180,3
181,1
182,3
183,2
184,0
185,3
186,2
187,3
188,3
189,3
190,3
191,1
192,4
193,2
194,0
195,2
196,1
197,0
198,1
199,1
200,1
201,2
202,3
203,2
204,1
205,1
206,3
207,0
208,0
209,1
210,3
211,1
212,1
213,2
214,0
215,0
216,2
217,2
218,1
219,2
220,2
221,2
222,4
223,1
224,1
225,3
226,2
227,2
228,3
229,2
230,1
231,1
232,1
233,2
234,3
235,1
236,3
237,3
238,4
239,3
240,2
241,2
242,1
243,3
244,0
245,2
246,3
247,3
248,3
249,0
250,0
251,3
252,1
253,3
254,1
255,1
256,3
257,1
258,4
259,2
260,3
261,0
262,0
263,1
264,2
265,1
266,3
267,0
268,0
269,0
270,3
271,0
272,2
273,4
274,1
275,0
276,0
277,1
278,0
279,3
280,3
281,2
282,1
283,1
284,0
285,1
286,0
287,0
288,0
289,3
290,2
291,0
292,0
293,1
294,3
295,3
296,1
297,1
298,3
299,2
