item,truth
2168,1
4984,0
3411,0
2109,1
1357,1
3779,0
2458,1
4061,0
4194,0
4488,0
2155,1
3782,0
2106,1
3574,0
4992,0
1503,1
1536,1
1306,1
2082,1
3019,0
1835,1
281,1
3983,0
1746,1
1507,1
4224,0
3922,0
731,1
949,1
2762,0
102,1
807,1
4539,0
440,1
4810,0
4044,0
2228,1
1940,1
4546,0
2589,0
2883,0
1703,1
1768,1
4404,0
4612,0
3643,0
1887,1
210,1
2111,1
4115,0
3313,0
3852,0
3433,0
4134,0
2061,1
509,1
1341,1
4960,0
4640,0
205,1
3820,0
1171,1
2031,1
3399,0
2670,0
2730,0
4857,0
1066,1
615,1
4486,0
3105,0
1242,1
1069,1
3285,0
4072,0
36,1
2087,1
136,1
1641,1
4800,0
2885,0
1417,1
2387,1
832,1
744,1
791,1
3808,0
4935,0
1874,1
729,1
1380,1
1108,1
1855,1
803,1
936,1
3685,0
4377,0
3622,0
2399,1
4748,0
1914,1
1640,1
3893,0
483,1
4443,0
4090,0
2133,1
1128,1
536,1
4273,0
2460,1
986,1
3305,0
4051,0
904,1
4583,0
2855,0
3520,0
2370,1
4123,0
3729,0
1483,1
4616,0
962,1
4576,0
1311,1
2398,1
4143,0
3878,0
374,1
2324,1
4569,0
4706,0
4114,0
1574,1
3767,0
3321,0
906,1
3140,0
2825,0
4417,0
2089,1
2222,1
463,1
4200,0
339,1
2573,0
4955,0
917,1
2775,0
3469,0
709,1
1495,1
2787,0
4963,0
3070,0
2337,1
3202,0
2659,0
4750,0
2497,1
980,1
3716,0
4264,0
4938,0
4057,0
516,1
1389,1
3424,0
4838,0
1471,1
604,1
2234,1
3271,0
193,1
1012,1
4014,0
1994,1
3850,0
535,1
2318,1
556,1
3708,0
1096,1
285,1
3492,0
194,1
2047,1
1113,1
469,1
2244,1
1706,1
664,1
4818,0
778,1
690,1
3029,0
3906,0
1090,1
3119,0
2453,1
2961,0
2384,1
833,1
2959,0
4931,0
1839,1
4977,0
4498,0
3184,0
352,1
2601,0
2978,0
858,1
4600,0
4702,0
4253,0
2367,1
345,1
4025,0
2784,0
2748,0
3857,0
1523,1
3860,0
3206,0
1331,1
2942,0
3824,0
866,1
2046,1
4236,0
2715,0
1302,1
762,1
4483,0
2000,1
4241,0
893,1
839,1
4824,0
3072,0
131,1
1950,1
4804,0
460,1
4119,0
1402,1
1439,1
4010,0
1562,1
581,1
187,1
1095,1
1573,1
3648,0
2971,0
3835,0
2001,1
3500,0
715,1
3322,0
2898,0
1665,1
3310,0
2415,1
1019,1
4163,0
1532,1
2483,1
2052,1
2339,1
171,1
726,1
74,1
796,1
1419,1
4703,0
4873,0
3650,0
1151,1
2355,1
1351,1
2102,1
1031,1
4761,0
3530,0
4715,0
1388,1
491,1
4736,0
4577,0
4775,0
3506,0
2537,0
3044,0
3843,0
3892,0
2963,0
3487,0
2931,0
360,1
1685,1
1107,1
2276,1
1674,1
1195,1
2381,1
3465,0
4922,0
3170,0
2658,0
4495,0
1138,1
2353,1
2490,1
1775,1
1980,1
1811,1
439,1
727,1
4231,0
3024,0
873,1
3569,0
4522,0
650,1
4989,0
3572,0
2965,0
3620,0
568,1
2628,0
1054,1
2419,1
1252,1
2465,1
197,1
450,1
2612,0
542,1
4673,0
3513,0
3437,0
1006,1
4007,0
2538,0
3460,0
1619,1
37,1
2361,1
59,1
202,1
1396,1
3304,0
354,1
1812,1
3706,0
1813,1
4106,0
4632,0
855,1
4581,0
736,1
4523,0
1334,1
4617,0
4041,0
905,1
4558,0
3031,0
2368,1
3948,0
3674,0
3452,0
3467,0
781,1
3457,0
1353,1
